claimId,referenceNumber,claim,accessLevel,sourceTitle,supportQuote
CLM-011,3,速效救心丸 meta 分析的纳入研究多因缺乏双盲而 Jadad 评分低。,full_text,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,The majority of the included studies received low Jadad scores due to the lack of a double-blind design
CLM-012,3,速效救心丸的不良反应以轻微头痛、头晕、面部潮红为主，与对照组的差异无统计学意义（RR 1.12，95%CI 0.50 至 2.51）。,full_text,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,"The most common symptoms were mild headache, dizziness, and facial flushing. Most of these symptoms resolved spontaneously. There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)"
CLM-013,3,速效救心丸 meta 分析未分析心血管死亡或药物相关并发症。,full_text,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,"In this study, we did not analyze cardiovascular death or drug-related complications"
CLM-014,3,速效救心丸 meta 分析纳入的全部研究均在中国开展。,full_text,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,All of the included studies were conducted in China
CLM-015,4,离体人体动脉研究测得速效救心丸对氯化钾与 U46619 预收缩的内乳动脉产生完全舒张（99.4% 与 99.9%）。,full_text,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,"SJP caused full relaxation in KCl- (99.4 ± 10.5%, n = 6) and U46619- (99.9 ± 5.6%, n = 6) contracted IMA"
CLM-016,15,高原三级医院急性冠脉综合征回顾性队列纳入 133 例患者。,full_text,Retrospective Analysis of the Epidemiological and Clinical Characteristics of Acute Coronary Syndrome in a Tertiary Hospital Located at High Altitude,"Among 133 ACS patients, 72.9% were male, with a mean age of 68.9 ± 13.9 years"
CLM-023,15,该高原急性冠脉综合征队列中 STEMI 占 48.9%、NSTEMI 占 33.8%。,full_text,Retrospective Analysis of the Epidemiological and Clinical Characteristics of Acute Coronary Syndrome in a Tertiary Hospital Located at High Altitude,"ST-segment elevation myocardial infarction (STEMI) was the most frequent ACS type (48.9%), followed by non-ST-segment elevation myocardial infarction (NSTEMI) (33.8%)"
CLM-024,15,该高原急性冠脉综合征队列的院内死亡率为 2.3%。,full_text,Retrospective Analysis of the Epidemiological and Clinical Characteristics of Acute Coronary Syndrome in a Tertiary Hospital Located at High Altitude,Mortality was low (2.3%)
CLM-017,15,该高原急性冠脉综合征研究明确缺乏低海拔对照组，无法评价海拔对发生率与结局的影响。,full_text,Retrospective Analysis of the Epidemiological and Clinical Characteristics of Acute Coronary Syndrome in a Tertiary Hospital Located at High Altitude,A key limitation is the absence of a comparison group from low-altitude regions
CLM-018,16,高原肺栓塞可发生于年轻、既往健康的迁入者（17 例，平均年龄 24.35 岁，均为男性）。,full_text,Clinical characteristics of pulmonary embolism at extremely high altitude: a single-center retrospective study,"The HA-Group comprised 17 individuals with a mean age of 24.35 ± 0.88 years, all of whom were males who had migrated from the plains to high-altitude regions"
CLM-019,5,急性高原病、高原肺水肿、高原脑水肿、急性冠脉综合征与肺栓塞共享低氧背景却是不同的临床实体，症状可重叠但处置路径不同：急性高原病以头痛为必备症状，高原肺水肿与肺栓塞均可表现为胸痛气短且易混淆，急性冠脉综合征则以胸痛为主、需心电图与心肌损伤标志物评估。,full_text,Acute high-altitude sickness,"The leading symptom is headache, which is required for the diagnosis of AMS"
