claimId,referenceNumber,supportQuote,sourceUrl,artifactPath,accessLevel,notes
CLM-011,11,"The control group received only conventional Western medicines, including but not limited to magnesium sulfate, nifedipine, labetalol, and other sedative antihypertensive treatments. … Treatment with Chuanxiongzine injection also significantly reduced SBP (WMD ═ −11.73; 95% CI: −14.12 to −9.34; P < 0.001) and DBP (WMD ═ −8.25; 95% CI: −9.66 to −6.84; P < 0.001)",https://europepmc.org/articles/PMC11496844,.evimed-sources/PMC11496844/fulltext.md,full_text,
CLM-012,12,"Eleven RCTs involving 870 patients with angina pectoris were selected in this study. Compared with conventional antianginal drugs alone, ligustrazine injection combined with antianginal drugs significantly increased the efficacy in symptom improvement (odds ratio [OR], 3.59; 95% confidence interval [CI]: 2.39 to 5.40)",https://europepmc.org/articles/PMC4671452,.evimed-sources/PMC4671452/fulltext.md,full_text,
CLM-013,15,"When angina pectoris is attacked, nitroglycerin, instant-effect Suxiao Jiuxin Pills and compound Danshen Dripping Pills can be taken sublingual.",https://doi.org/10.26599/1671-5411.2024.06.001,.evimed-sources/10.26599-1671-5411.2024.06.001/fulltext.md,full_text,
CLM-014,15,"Acute coronary syndrome Reduce blood pressure and myocardial oxygen consumption, but do not affect the coronary perfusion pressure and coronary blood flow, and prevent reflex tachycardia < 130/80 mmHg, diastolic blood pressure > 60 mmHg",https://doi.org/10.26599/1671-5411.2024.06.001,.evimed-sources/10.26599-1671-5411.2024.06.001/fulltext.md,full_text,
CLM-015,17,"The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%). The positive likelihood ratio for having coronary artery disease if nitroglycerin relieved chest pain was 1.1 (0.96–1.34).",https://doi.org/10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,
CLM-016,18,"Close hemodynamic monitoring is recommended and in patients with hypotension (SBP <90 mmHg or >30 mmHg below baseline), extreme bradycardia (<50 bpm), or tachycardia in the absence of heart failure (>100 bmp), NTG is not recommended.",https://europepmc.org/articles/PMC9278720,.evimed-sources/PMC9278720/fulltext.md,full_text,
CLM-017,20,"prompt activation of emergency medical services by the patient dialing 9-1-1. In the emergency department, initial evaluation should focus on rapid identification of patients at highest risk of a cardiac emergency, including those with ACS, aortic dissection, and pulmonary embolism or nonvascular emergencies such as esophageal rupture or pneumothorax. The 12-lead electrocardiogram and preferred high-sensitivity troponin facilitate rapid and accurate detection of myocardial injury, thereby aiding risk assessment. Once acute chest pain is confirmed, stratification into low-, intermediate-, and high-risk categories through the routine use of structured risk assessments can help guide further diagnostic testing",https://europepmc.org/articles/PMC11308083,.evimed-sources/PMC11308083/fulltext.md,full_text,
CLM-018,21,todo paciente que se apresenta na unidade de emergência com dor ou sintoma equivalente sugestivo de isquemia deve receber atendimento médico dentro de 10 minutos,https://europepmc.org/articles/PMC12981354,.evimed-sources/PMC12981354/fulltext.md,full_text,
CLM-019,23,"A total of 20 005 consecutive patients from the Feedback Intervention and Treatment Times in ST-segment Elevation Myocardial Infarction (FITT-STEMI) programme treated with primary percutaneous coronary intervention (PCI) were included. … Mortality was 10.0% in patients presenting within 1 hour, and 4.9%, 6.0% and 7.3% in patient groups with longer S2C intervals of 1–2 hours, 2–6 hours and 6–24 hours, respectively. Patients with a short S2C interval of less than 1 hour (S2C<60 min) had the highest survival benefit from timely reperfusion with PCI within 90 min (OR 0.27, 95% CI 0.23 to 0.31, p<0.0001)",https://europepmc.org/articles/PMC8103948,.evimed-sources/PMC8103948/fulltext.md,full_text,
CLM-020,24,"you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page,
CLM-021,15,"Antihypertensive drugs should be initiated at a low dose, increase the dose or add more drugs types gradually, achieve the BP target gradually. If angina pectoris symptoms related to antihypertensive therapy occur, the dosage of antihypertensive drugs should be reduced and possible inducements should be assessed.",https://doi.org/10.26599/1671-5411.2024.06.001,.evimed-sources/10.26599-1671-5411.2024.06.001/fulltext.md,full_text,
CLM-023,11,Treatment with Chuanxiongzine injection also significantly reduced SBP (WMD ═ −11.73; 95% CI: −14.12 to −9.34; P < 0.001) and DBP (WMD ═ −8.25; 95% CI: −9.66 to −6.84; P < 0.001),https://europepmc.org/articles/PMC11496844,.evimed-sources/PMC11496844/fulltext.md,full_text,
CLM-025,17,"The diagnostic sensitivity of nitroglycerin to determine cardiac chest pain was 72% (64%–80%), and the specificity was 37% (34%–41%).",https://doi.org/10.1017/S1481803500013671,.evimed-sources/10.1017-s1481803500013671/fulltext.md,full_text,
CLM-026,3,The diagnostic criteria for CHD will be ① history of myocardial infarction (MI); ② coronary angiography or computed tomography coronary angiography confirmation of stenosis greater than 50%; and ③ noninvasive imaging stress test diagnostic of coronary artery disease (CAD),https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,full_text,
CLM-028,1,"Specifically, 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% (OR = 2.43, 95% confidence interval [CI] = 1.32 to 4.47, P = 0.004) of patients in the placebo group achieved the same level of improvement",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,full_text,
