Source skill,Severity,Findings,Runtime status,Disposition,Mapped runtime packages,Source instructions loaded,Decision
fluidsim,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/simulation-optimization,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
generate-image,MEDIUM,4,capability_mapped,covered_by_bundled_platform,core/publication-figures; external/ai4s-skills/mindmap-render,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
geniml,HIGH,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/genome-variant-analysis; curated-scientific/biosequence-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
geomaster,HIGH,8,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/geospatial-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
geopandas,LOW,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/geospatial-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
get-available-resources,LOW,4,capability_mapped,covered_by_bundled_platform,platform/runtime-capabilities,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
gget,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-database-search; curated-scientific/biosequence-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
ginkgo-cloud-lab,LOW,3,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
glycoengineering,INFO,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biosequence-analysis; curated-scientific/drug-discovery-data,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
gtars,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/genome-variant-analysis; curated-scientific/biosequence-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
histolab,HIGH,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/digital-pathology-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
hugging-science,MEDIUM,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biosequence-analysis; curated-scientific/scientific-deep-learning,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
hypogenic,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/hypothesis-development; curated-scientific/statistical-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
hypothesis-generation,CRITICAL,10,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/hypothesis-development,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
imaging-data-commons,MEDIUM,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/medical-imaging-data,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
infographics,CRITICAL,11,capability_mapped,covered_by_bundled_platform,core/publication-figures; office/pptx,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
iso-13485-certification,MEDIUM,5,excluded,excluded_no_unique_research_gap,,no,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.
labarchive-integration,MEDIUM,8,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
lamindb,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-data-engineering,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
latchbio-integration,LOW,3,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
latex-posters,CRITICAL,11,capability_mapped,covered_by_bundled_platform,core/publication-figures,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
liteparse,LOW,4,capability_mapped,covered_by_bundled_platform,platform/document-viewers,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
literature-review,CRITICAL,11,capability_mapped,covered_by_rehabilitated_runtime,external/ai4s-skills/literature-survey,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
markdown-mermaid-writing,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/markdown-mermaid-writing,yes,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
market-research-reports,LOW,4,excluded,excluded_no_unique_research_gap,,no,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.
markitdown,CRITICAL,12,capability_mapped,covered_by_bundled_platform,platform/document-viewers,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
matchms,LOW,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/mass-spectrometry-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
matlab,LOW,4,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
matplotlib,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/matplotlib,yes,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
medchem,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/cheminformatics,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
modal,HIGH,8,capability_mapped,covered_by_rehabilitated_runtime,core/modal-run,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
molecular-dynamics,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/materials-science-analysis; curated-scientific/simulation-optimization,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
molfeat,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/cheminformatics,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
networkx,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-knowledge-graph,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
neurokit2,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-signal-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
neuropixels-analysis,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-signal-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
nextflow,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/reproducible-workflows,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
omero-integration,LOW,5,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
onekgpd,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/genome-variant-analysis; curated-scientific/biosequence-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
open-notebook,MEDIUM,18,capability_mapped,covered_by_bundled_platform,platform/notebooks,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
opentrons-integration,LOW,4,not_default,physical_hardware_not_default,,no,Physical laboratory actuation requires device-specific validation and is intentionally outside the default autonomous SaaS runtime.
optimize-for-gpu,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-deep-learning; core/remote-compute,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pacsomatic,CRITICAL,6,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/genome-variant-analysis; curated-scientific/reproducible-workflows,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
paper-lookup,MEDIUM,6,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-database-search; curated-scientific/citation-integrity; builtin/websearch,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
paperzilla,MEDIUM,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-database-search; curated-scientific/citation-integrity; builtin/websearch,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
parallel-web,HIGH,7,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-database-search; curated-scientific/citation-integrity; builtin/websearch,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pathml,HIGH,8,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/digital-pathology-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pathway-enrichment,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/pathway-enrichment,yes,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pdf,LOW,6,capability_mapped,covered_by_bundled_platform,office/pdf,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
peer-review,CRITICAL,10,capability_mapped,covered_by_rehabilitated_runtime,external/ai4s-skills/integrity-auditor; core/traceability-review,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pennylane,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/quantum-computing-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
phylogenetics,MEDIUM,9,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/phylogenetic-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pi-agent,LOW,5,excluded,excluded_no_unique_research_gap,,no,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.
polars,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-data-engineering,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
polars-bio,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/genome-variant-analysis; curated-scientific/scientific-data-engineering,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pptx,MEDIUM,5,capability_mapped,covered_by_bundled_platform,office/pptx,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
pptx-posters,CRITICAL,9,capability_mapped,covered_by_bundled_platform,core/publication-figures; office/pptx,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
primekg,MEDIUM,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-knowledge-graph,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
protocolsio-integration,MEDIUM,7,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
pufferlib,MEDIUM,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-deep-learning; curated-scientific/simulation-optimization,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pydeseq2,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/bulk-rna-seq,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pydicom,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/medical-imaging-data,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pyhealth,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/clinical-machine-learning,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pylabrobot,LOW,3,not_default,physical_hardware_not_default,,no,Physical laboratory actuation requires device-specific validation and is intentionally outside the default autonomous SaaS runtime.
pymatgen,MEDIUM,5,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/materials-science-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pymc,LOW,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/bayesian-modeling,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pymoo,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/simulation-optimization,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pyopenms,MEDIUM,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/mass-spectrometry-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pysam,LOW,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/genome-variant-analysis; curated-scientific/biosequence-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pytdc,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/drug-discovery-data,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pytorch-lightning,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-deep-learning,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
pyzotero,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/citation-integrity,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
qiskit,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/quantum-computing-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
qutip,HIGH,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/quantum-computing-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
rdkit,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/cheminformatics,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
research-grants,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/research-grant-development,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
research-lookup,CRITICAL,6,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/biomedical-database-search,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
rowan,LOW,5,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
scanpy,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/single-cell-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scholar-evaluation,CRITICAL,10,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/citation-integrity,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scientific-brainstorming,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/hypothesis-development,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scientific-critical-thinking,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/hypothesis-development,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scientific-schematics,CRITICAL,10,capability_mapped,covered_by_rehabilitated_runtime,core/publication-figures; curated-scientific/markdown-mermaid-writing,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scientific-slides,CRITICAL,15,capability_mapped,covered_by_bundled_platform,office/pptx,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
scientific-visualization,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/matplotlib; core/publication-figures,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scientific-writing,CRITICAL,11,capability_mapped,covered_by_rehabilitated_runtime,external/ai4s-skills/paper-writer,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scikit-bio,HIGH,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/phylogenetic-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scikit-learn,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/clinical-machine-learning,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scikit-survival,LOW,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/survival-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scvelo,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/single-cell-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
scvi-tools,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/single-cell-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
seaborn,CRITICAL,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/matplotlib; core/publication-figures,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
shap,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/clinical-machine-learning,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
simpy,LOW,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/simulation-optimization,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
stable-baselines3,LOW,1,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-deep-learning; curated-scientific/simulation-optimization,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
statistical-analysis,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/statistical-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
statistical-power,SAFE,0,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/statistical-power,yes,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
statsmodels,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/statistical-analysis; curated-scientific/time-series-forecasting,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
sympy,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/simulation-optimization,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
tamarind,MEDIUM,13,not_default,credentialed_or_licensed_optional,,no,"Useful external service, but global publication would fail without an operator account, contract, or proprietary runtime."
tiledbvcf,HIGH,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/genome-variant-analysis; curated-scientific/scientific-data-engineering,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
timesfm-forecasting,LOW,4,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/time-series-forecasting,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
torch-geometric,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-deep-learning; curated-scientific/biomedical-knowledge-graph,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
torchdrug,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/drug-discovery-data; curated-scientific/scientific-deep-learning,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
transformers,LOW,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-deep-learning,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
treatment-plans,CRITICAL,10,excluded,excluded_clinical_decision_support,,no,Clinical treatment or decision support is outside the current research-agent scope and is not published as an autonomous research skill.
umap-learn,MEDIUM,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/exploratory-data-analysis; curated-scientific/single-cell-analysis,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
usfiscaldata,LOW,1,excluded,excluded_no_unique_research_gap,,no,No unique safe EviMed research gap remains after the unified runtime packages; the incoming package is omitted from the action space.
vaex,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-data-engineering,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
venue-templates,CRITICAL,10,capability_mapped,covered_by_rehabilitated_runtime,external/ai4s-skills/paper-writer,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
what-if-oracle,LOW,2,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/simulation-optimization,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
xlsx,MEDIUM,5,capability_mapped,covered_by_bundled_platform,office/xlsx,no,Capability exists in the platform; duplicate incoming instructions are not installed and are not counted as a published package.
zarr-python,MEDIUM,3,capability_mapped,covered_by_rehabilitated_runtime,curated-scientific/scientific-data-engineering,no,Capability is mapped to a smaller audited EviMed package; this does not publish or install the incoming package.
