id,name,domain,priority,connectionState,accessClass,connector,officialUrl,credential,license,blocker,operatorAction,evimedAction
scopus,Scopus,文献计量,P2 扩展,blocked_license,commercial,,,Elsevier API/合同,商业许可,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
web-of-science,Web of Science,文献计量,P2 扩展,blocked_license,commercial,,,Clarivate API/合同,商业许可,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
embase,Embase,文献与系统综述,P2 扩展,blocked_license,commercial,,,Elsevier API/合同,商业许可,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
epistemonikos,Epistemonikos,系统综述,P2 扩展,blocked_no_api,website_or_partnership,,,接口/合作确认,使用条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
nmpa,NMPA 说明书本地库,药品标签,P2 扩展,ready_private_adapter,internal,,,数据库账号,来源与再分发需确认,需要部署本地数据库或旧业务服务，并配置项目级私有适配器。,"Provide the private service endpoint, authentication contract, sample response, and test tenant.",Implement the tenant-scoped private adapter and end-to-end artifact test after the endpoint contract is supplied.
nmpa-cde,NMPA / CDE,药品监管与标签,P2 扩展,blocked_no_api,website_or_partnership,,,接口或数据授权,监管网站条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
offsides,OFFSIDES,药物不良反应,P2 扩展,blocked_license,licensed_dataset,,https://tatonettilab.org/resources/tatonetti-stm.html,无需通用 key,数据集条款,官方静态下载约 69 MB（压缩后），但未确认可随商业 SaaS 捆绑和再分发；许可确认后可按 SIDER 的固定版本 SQLite 构建方式接入。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
who-atc-ddd,WHO ATC/DDD,药物分类,P2 扩展,blocked_license,licensed_dataset,,https://www.whocc.no/atc_ddd_index/,授权/再分发确认,WHO 许可,需要 WHOCC 数据许可和 SaaS 再分发确认；不能抓取网页或复制索引作为默认数据包。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
nice,NICE,指南与 HTA,P2 扩展,blocked_no_api,website_or_partnership,,,无需通用 key,开放政府信息条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
sinomed,SinoMed,中文生物医学文献,P2 扩展,blocked_license,commercial,,https://www.sinomed.ac.cn/,机构/API 权限,使用条款,需要机构/API 合同及 SaaS 使用许可；未找到可无授权自动化调用的官方公共 API。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
source-116,万方数据,中文文献与专利,P2 扩展,blocked_license,commercial,,,机构/API 合同,商业许可,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
oncokb,OncoKB,肿瘤精准医学,P2 扩展,blocked_license,commercial,,,Token/商业 License,用途限制,需要商业合同、机构订阅或商业再分发授权。,Confirm commercial/reuse rights or supply the executed license/contract and permitted fields.,Do not ingest or redistribute until permission scope is documented; then build a least-privilege connector and acceptance fixture.
cadth,CADTH,HTA,P2 扩展,blocked_no_api,website_or_partnership,,,无需通用 key,网站/出版物条款,未确认稳定、允许自动化使用的官方 API；禁止以网页抓取冒充正式接入。,"Provide an approved export, mirror, or partner endpoint if one becomes available.",Monitor the official source; do not ship brittle scraping or CAPTCHA bypasses.
