claimId,referenceNumber,supportQuote,sourceUrl,accessLevel
CLM-012,8,"Of the 10 studies included, 7 were used for the meta-analysis … The research explored a variety of CAF strategies, spanning different forms (capsule, drink, gum), times (10, 45, 60 min) and doses (2.1 to 6.0 mg/kg). The outcomes revealed no substantial variations between the placebo and CAF conditions in terms of both the square root of the average of successive squared differences between adjacent RR intervals (RMSSD) (standardized mean difference (SMD) -0.03, 95% CI -0.265 to 0.197, p= 0.77) and high frequency (HF) index (SMD -0.061, 95% CI -0.272 to 0.150, p= 0.57)",https://europepmc.org/articles/PMC11284693,full_text
CLM-013,9,Atrial fibrillation in healthy adolescents after highly caffeinated beverage consumption: two case reports,https://europepmc.org/articles/PMC3038953,full_text
CLM-014,4,"Palpitation is one of the most common symptoms in primary care, accounting for about 16% of the presenting complaints in general practice. … A prospective cohort study by Weber and Kapoor … identified underlying aetiologies in 84% of the 190 patients presenting with palpitations … of which 43% were attributed to cardiac causes, 31% to anxiety or panic attack/disorder, 6% to illicit drugs, prescription or over-the-counter medications, and the remaining 4% to noncardiac medical causes.",https://europepmc.org/articles/PMC11321539,full_text
CLM-015,4,"Use of caffeine, tobacco, alcohol or sympathomimetics is known to cause palpitations. … As anxiety is the most common noncardiac cause of palpitation",https://europepmc.org/articles/PMC11321539,full_text
CLM-016,5,"a history of cardiac disease (likelihood ratio (LR+) = 2.03), palpitations affecting sleep (LR+ = 2.29), or palpitations occurring during work (LR+ = 2.17); conversely, palpitation duration less than 5 minutes decreases this probability (LR- = 0.38) … when the patient complains of a regular and rapid pounding sensation in the neck, this has an LR+ of 177 for atrioventricular (AV) nodal reentry tachycardia",https://europepmc.org/articles/PMC12740010,full_text
CLM-017,5,"The most important diagnostic test in the approach to a patient with active palpitations is the 12-lead ECG, as it is the reference standard for determining whether the cause of palpitations is arrhythmogenic … its sensitivity is poor, around 10-15% … However, it has better performance than Holter monitoring, achieving sensitivities up to 50-60%",https://europepmc.org/articles/PMC12740010,full_text
CLM-018,1,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away … you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back … you have chest pain and you feel sweaty, sick, light headed or short of breath … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",https://www.nhs.uk/symptoms/chest-pain/,official_page
CLM-019,12,"Suxiao Jiuxin Pill (SJPs) emerges as a prominent traditional Chinese patent medicine utilized for the treatment of acute ischemic heart disease, which was approved by China Food and Drug Administration (CFDA) in 1982 … The pill is composed of Ligusticum striatum DC. … Chuanxiong Rhizoma) and Dryobalanops aromatica C.F.Gaertn. … Borneolum syntheticum).",https://europepmc.org/articles/PMC11451125,full_text
CLM-020,11,"Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001) … suxiao jiuxin pills improve ECG results more than … nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, and P < 0.001) … All of the included studies were conducted in China. … The majority of the included studies received low Jadad scores due to the lack of a double-blind design",https://europepmc.org/articles/PMC5892298,full_text
CLM-021,12,"A total of 174 CCS participants from eight clinical study centers in China were included in the modified intention-to-treat analyses … Compared to the placebo group, the SJPs group showed a significant improvement in the efficacy rate after 4 weeks (OR = 2.43, 95% CI = 1.32 to 4.47, P = 0.004) … 60.9% of patients treated with SJPs achieved a 20-point or greater improvement in SAQ-SS, while only 39.1% … in the placebo group",https://europepmc.org/articles/PMC11451125,full_text
CLM-022,12,"participants with a history or clinical evidence of poorly controlled or severe disease were excluded. These included … severe arrhythmias … the TCM main syndrome score is the sum of five patients' self-reported symptom scores (chest pain, chest tightness, shortness of breath, fatigue, and palpitation).",https://europepmc.org/articles/PMC11451125,full_text
CLM-024,2,"habitual consumption of coffee in moderate amounts (2–3 cups of coffee/day) does not increase the risk of arrhythmia, and might even reduce it slightly. While coffee consumption may increase the risk of premature ventricular contractions, these results are inconsistent and require further study.",https://europepmc.org/articles/PMC10508080,full_text
CLM-026,17,The study demonstrated a 39% reduction in the primary endpoint among coffee consumers compared with abstainers (p=0.01). This effect was comparable when AF alone was analysed.,https://europepmc.org/articles/PMC12997235,full_text
