claimId,referenceNumber,sourceTitle,sourceUrl,artifactPath,accessLevel,supportQuote,claimType
CLM-017,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",https://europepmc.org/articles/PMC8587134,.evimed-sources/PMC8587134/fulltext.md,full_text,"one of the more recent investigations conducted in Japan, in 2017, which concluded that Lys504 mutant subjects, when administered with GTN sublingually, showed no difference in terms of vasodilatory effects when compared to Glu504 wild type subjects",direct
CLM-018,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",https://europepmc.org/articles/PMC8587134,.evimed-sources/PMC8587134/fulltext.md,full_text,"Mackenzie and co-workers (2005) reported enhancements in forearm blood flow, using intra-arterial administration of GTN, but such improvements were still shown to be 40% lower in mutant subjects",direct
CLM-019,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",https://europepmc.org/articles/PMC8587134,.evimed-sources/PMC8587134/fulltext.md,full_text,sublingual GTN is the standard treatment for acute angina pectoris,direct
CLM-020,8,Prehospital Activation of the Catheterization Laboratory Among Patients With Suspected ST-Elevation Myocardial Infarction Outside of a Hospital - Systematic Review and Meta-Analysis,https://europepmc.org/articles/PMC9437475,.evimed-sources/PMC9437475/fulltext.md,full_text,The door-to-balloon time was 33.1 min shorter (95% CI from 47.5 to 18.7 min shorter) in the PH than ED activation group.,direct
CLM-021,8,Prehospital Activation of the Catheterization Laboratory Among Patients With Suspected ST-Elevation Myocardial Infarction Outside of a Hospital - Systematic Review and Meta-Analysis,https://europepmc.org/articles/PMC9437475,.evimed-sources/PMC9437475/fulltext.md,full_text,"There were 54 fewer deaths per 1,000 patients (95% CI from 71 fewer to 33 fewer) among the PH than ED activation group.",direct
CLM-022,8,Prehospital Activation of the Catheterization Laboratory Among Patients With Suspected ST-Elevation Myocardial Infarction Outside of a Hospital - Systematic Review and Meta-Analysis,https://europepmc.org/articles/PMC9437475,.evimed-sources/PMC9437475/fulltext.md,full_text,the certainty of the evidence was rated as very low for the effect of prehospital activation of the cath lab and catheterization staff on short- and long-term mortality because of the serious risk of bias.,direct
CLM-023,9,Prognostic Implications of Door-to-Balloon Time and Onset-to-Door Time on Mortality in Patients With ST-Segment-Elevation Myocardial Infarction Treated With Primary Percutaneous Coronary Intervention,https://europepmc.org/articles/PMC6512115,.evimed-sources/PMC6512115/fulltext.md,full_text,"every 1‐hour increase of D2B time was associated with a 55% increase of 1‐year mortality (HR, 1.55; 95% CI, 1.40–1.72; P< 0.001), whereas every 1‐hour increase of O2D time was associated with a 4% increase of 1‐year mortality (HR, 1.04; 95% CI, 1.02–1.06; P <0.001)",direct
CLM-024,9,Prognostic Implications of Door-to-Balloon Time and Onset-to-Door Time on Mortality in Patients With ST-Segment-Elevation Myocardial Infarction Treated With Primary Percutaneous Coronary Intervention,https://europepmc.org/articles/PMC6512115,.evimed-sources/PMC6512115/fulltext.md,full_text,"the D2B time remained significant, with every 1‐hour increase of D2B time being associated with a 64% increased risk of 1‐year mortality (HR, 1.90; 95% CI, 1.51–2.39; P <0.001)",direct
CLM-025,9,Prognostic Implications of Door-to-Balloon Time and Onset-to-Door Time on Mortality in Patients With ST-Segment-Elevation Myocardial Infarction Treated With Primary Percutaneous Coronary Intervention,https://europepmc.org/articles/PMC6512115,.evimed-sources/PMC6512115/fulltext.md,full_text,"1‐year cumulative mortality was 4.6% (53/1194) in patients with D2B time 0 through 45 minutes, 6.3% (103/1655) in those with D2B time 46 through 60 minutes, 7.5% (147/1984) in those with D2B time 61 through 90 minutes, and 17.5% (71/410) in those with D2B time 90 through 360 minutes",direct
CLM-026,9,Prognostic Implications of Door-to-Balloon Time and Onset-to-Door Time on Mortality in Patients With ST-Segment-Elevation Myocardial Infarction Treated With Primary Percutaneous Coronary Intervention,https://europepmc.org/articles/PMC6512115,.evimed-sources/PMC6512115/fulltext.md,full_text,"1‐year cumulative mortality was 5.8% (75/1302) in patients with O2D time 0 to 1 hour, 6.6% (75/1153) in those with O2D time 1 to 2 hours, 7.4% (101/1387) in those with O2D time 2 to 4 hours, and 8.9% (123/1401) in those with O2D time >4 hours",direct
CLM-028,6,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance",https://europepmc.org/articles/PMC8587134,.evimed-sources/PMC8587134/fulltext.md,full_text,"a Chinese study in 2015, also using sublingual GTN, involving 559 subjects, showed that cardiac output increased only in wild type subjects",direct
CLM-029,8,Prehospital Activation of the Catheterization Laboratory Among Patients With Suspected ST-Elevation Myocardial Infarction Outside of a Hospital - Systematic Review and Meta-Analysis,https://europepmc.org/articles/PMC9437475,.evimed-sources/PMC9437475/fulltext.md,full_text,All 11 studies were observational studies.,direct
CLM-030,9,Prognostic Implications of Door-to-Balloon Time and Onset-to-Door Time on Mortality in Patients With ST-Segment-Elevation Myocardial Infarction Treated With Primary Percutaneous Coronary Intervention,https://europepmc.org/articles/PMC6512115,.evimed-sources/PMC6512115/fulltext.md,full_text,a total 5243 patients with STEMI who underwent primary PCI,direct
