claimId,referenceNumber,claim,sourceTitle,sourceUrl,artifactPath,identifier,accessLevel,supportQuote
CLM-011,1,2024年试验以“服用长效硝酸酯后出现低血压、头痛或潮红”定义硝酸酯不耐受人群，说明该试验人群对血管扩张类不良反应敏感，而该试验报告零不良事件。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,10.1186/s12906-024-04661-5,full_text,"A patient is considered to experience common adverse effects to long-acting nitrates if they exhibit hypotension, headache, or flushing after taking long-acting nitrate formulations, such as isosorbide dinitrate or isosorbide mononitrate, at or below the recommended prescribed dose."
CLM-012,6,离体人乳内动脉（取自冠脉搭桥患者，n=78）实验显示速效救心丸对KCl与U46619预收缩产生完全舒张（99.4±10.5%与99.9±5.6%）——为离体（ex vivo）人血管组织证据，非人体给药后测量。,Suxiao Jiuxin Pill Induces Potent Relaxation and Inhibition on Contraction in Human Artery and the Mechanism,https://europepmc.org/articles/PMC3997901,.evimed-sources/PMC3997901/fulltext.md,10.1155/2014/956924,full_text,"We investigated the effect and possible mechanism of SJP in the human internal mammary artery (IMA, n = 78) taken from patients undergoing coronary surgery. … SJP caused full relaxation in KCl- (99.4 ± 10.5%, n = 6) and U46619- (99.9 ± 5.6%, n = 6) contracted IMA. … Pretreatment of IMA with plasma concentrations of SJP (1 mg/mL), calculated from the plasma concentration of its major component borneol"
CLM-013,7,大鼠急性心肌缺血模型与离体大鼠冠脉环实验显示速效救心丸浓度依赖性舒张冠脉（EC50=136.1 µg/mL，Rmax=80.72±10.27%），机制为eNOS-NO通路——属动物/离体证据。,Suxiao Jiuxin Pill attenuates acute myocardial ischemia via regulation of coronary artery tone,https://europepmc.org/articles/PMC10206061,.evimed-sources/PMC10206061/fulltext.md,10.3389/fphar.2023.1104243,full_text,Results revealed that SJP has a concentration-dependent vasodilatory effect on the endothelium-intact coronary artery rings (EC 50 = 136.1 μg/mL; R max = 80.72 ± 10.27%).
CLM-014,3,英国NHS胸痛处置指引：胸痛伴出汗、头晕、气短者可能为心脏事件，应立即呼叫急救（英国999；中国对应120）并接受院内评估——含服自救与否不改变该路径。,Chest pain — NHS,https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/e6143b76645a9461/page.md,official-page:e6143b76645a9461,official_page,"you have chest pain and you feel sweaty, sick, light headed or short of breath … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-015,8,药物不良反应因果关系评定方法学现状：没有任何工具被普遍接受为金标准，Naranjo算法与WHO-UMC量表是应用最多的两种；未检索到将任一方法应用于速效救心丸不良反应的已发表评定。,"Causality, Severity, Preventability and Predictability Assessments Scales for Adverse Drug Reactions: A Review",https://doi.org/10.7759/cureus.59975,.evimed-sources/10.7759-cureus.59975/fulltext.md,10.7759/cureus.59975,full_text,"Despite various methods available, none of the causality assessment tools have been universally accepted as the gold standard. Naranjo's algorithm and WHO-UMC scales are, however, the most commonly used"
CLM-016,12,"症状检查工具审计（23个工具、45例标准患者场景）：正确诊断作为首选项仅34%（95%CI 31% to 37%），正确分诊建议57%（52% to 61%）——""给出了诊断与建议""不等于""诊断与建议正确""。",Evaluation of symptom checkers for self diagnosis and triage: audit study,https://www.bmj.com/content/351/bmj.h3480,.evimed-sources/PMC4496786/fulltext.md,10.1136/bmj.h3480,full_text,"45 standardized patient vignettes were compiled and equally divided into three categories of triage urgency … The 23 symptom checkers provided the correct diagnosis first in 34% (95% confidence interval 31% to 37%) of standardized patient evaluations, listed the correct diagnosis within the top 20 diagnoses given in 58% (55% to 62%) of standardized patient evaluations, and provided the appropriate triage advice in 57% (52% to 61%) of standardized patient evaluations. Triage performance varied by urgency of condition, with appropriate triage advice provided in 80% (95% confidence interval 75% to 86%) of emergent cases"
CLM-017,14,TikTok甲亢健康内容研究（115个视频）：内容准确性（ANDI均分3.15/4）与创作者资质相关（医务人员视频ANDI/GQS/mDISCERN均显著更高），而互动热度指标与准确性相分离——覆盖率类指标不能保证正确性。,"Quality, Reliability and Accuracy of Hyperthyroidism-Related Content on Social Media Platform TikTok",https://europepmc.org/articles/PMC12422942,.evimed-sources/PMC12422942/fulltext.md,10.1002/edm2.70105,full_text,"Of the 115 videos analysed, the mean ANDI score was 3.15/4, the mean GQS was 2.72/5, and the mean mDISCERN score was 2.47/5. … Healthcare professionals (HCPs, 37.4% of creators) produced videos with higher ANDI ( p = 0.015), GQS ( p < 0.001) and mDISCERN ( p < 0.001) scores than non‐HCPs."
CLM-018,13,El-Osta等（2022）结论：临床场景（vignette）在基准化在线症状检查器诊断准确性与分诊安全性方面具有固有局限——以场景覆盖率评价工具质量存在方法学限制。,What is the suitability of clinical vignettes in benchmarking the performance of online symptom checkers? An audit study,https://bmjopen.bmj.com/content/12/2/e053566,.evimed-sources/PMC9047920/fulltext.md,10.1136/bmjopen-2021-053566,full_text,Clinical vignettes are inherently limited in their utility to benchmark the diagnostic accuracy or triage safety of OSC.
CLM-019,1,"2024年试验的安全性评价由""监测患者报告的不良事件＋分析实验室检查结果""构成，未报告给药后血压、心率等血流动力学指标，故""血管扩张""假说在该试验中未获任何人体测量支持。","Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,10.1186/s12906-024-04661-5,full_text,Safety assessments were conducted by closely monitoring adverse events reported by the patients and analyzing laboratory test results.
CLM-020,1,在可及的关键定量来源中，头晕/乏力均未获得有分母的症状别发生率：唯一安慰剂对照试验（174例、4周、周电话主动询问）总体零事件，meta 分析（41 项 RCT、6276 例）仅定性列举“最常见为轻度头痛、头晕、面部潮红”并给出总体组间 RR 1.12（95%CI 0.50 to 2.51）——命题A判定为“无发生率证据”（已记载为可能出现的反应，发生率未知）。,,,,,,
CLM-021,6,现有扩血管机制证据全部来自离体人乳内动脉、大鼠离体冠脉与内皮细胞层面；临床试验的安全性评价聚焦于不良事件报告与实验室检查，未报告含服本品后人体血压、心率或脑血流测量——人体给药后的血流动力学实测未检索到。,,,,,,
CLM-022,6,"""血管扩张""作为头晕/乏力机制解释的最高确定性为""机制上可解释（离体人动脉与大鼠冠脉显示舒张活性），未在人体验证""；由冠状动脉/离体动脉舒张外推至体循环主观症状属未经验证的推断，机制证据不得用于填补归因数据缺口。",,,,,,
CLM-023,5,"""轻微可观察、严重需就医""的分层处置阈值未能追溯到说明书、共识或指南中的任何可核验条款：可追溯的仅有——老年高血压指南将本品列为发作期含服选项（无分层处置内容）、研究方案对特定人群的排除、以及急诊警示特征路径；缺省路径回到就医评估，不得以合理性论证自拟阈值。",,,,,,
CLM-024,12,"未检索到以内容正确性为终点、且证明""归因解释率/行动建议率""与内容正确性存在实证关联的研究；现有实证显示""给出了诊断/建议""与""诊断/建议正确""相互分离（正确诊断首选项34%、正确分诊建议57%），准确性指标与创作者资质相关而与覆盖/传播分离，临床场景基准化本身存在方法学局限——KPI判定为""指标不能替代内容判据""。",,,,,,
CLM-026,4,该试验方案计划纳入 324 例慢性稳定型心绝痛（气滞血痕证）患者，疗程 24 周，在常规治疗基础上加用速效救心丸或安慰剂。,"Efficacy and safety of Suxiao Jiuxin Pill in the treatment of stable angina (Qi stagnation and blood stasis syndrome): study protocol of a randomized, double-blind, placebo-controlled, multi-center clinical trial",https://europepmc.org/articles/PMC8287819,.evimed-sources/PMC8287819/fulltext.md,10.1186/s13063-021-05448-6,full_text,"The trial will enroll 324 participants with chronic stable angina (Qi Stagnation and Blood Stasis syndrome). … Eligible participants will receive either SJP or placebo (five pills administered orally, three times daily) in addition to conventional treatment for 24 weeks."
CLM-027,1,2024 年试验人群平均年龄 59.5 岁（SD 8.57），女性占 44.3%。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",https://europepmc.org/articles/PMC11451125,.evimed-sources/PMC11451125/fulltext.md,10.1186/s12906-024-04661-5,full_text,"Of them, the average age was 59.5 ( SD 8.57), and 44.3% of participants were females."
