RQ-03_研究任务 | 1.3 | gap-answered-in-verdict | 109 | 按 GRADE 为低确定性 | 问题要求长期用药有效性证据体的GRADE确定性等级，该行明确给出低确定性。
RQ-21_研究任务 | 5.4 | answer-not-responsive | 115 | 高原暴露人群的急性冠脉事件、心绞痛与心血管死亡发生率相对平原的差异，缺乏前瞻性对照数据 | 问题5.4要求在无心血管诊断的高原暴露人群中使用本品的获益与风险，该行只说明高原暴露人群的事件发生率缺乏对照数据，未提及本品或获益风险。
RQ-21_研究任务 | 1.1 | gap-answered-in-verdict | 11 | 速效救心丸说明书适应症表述为 | 问题1.1要求现行药品说明书的适应症原文表述，该行在摘要中已给出说明书适应症的原文表述，但台账将该项标为gap。
RQ-21_研究任务 | 4.1 | gap-answered-in-verdict | 17 | 已检索到以速效救心丸预防急性高原病的注册试验 | 问题4.1询问是否存在以本品为干预的高原场景临床研究或注册记录，该行在摘要中已报告存在一项注册试验，台账却标为gap。
RQ-24_研究任务 | 1.1 | answer-not-responsive | 71 | 本次检索未能获取相关指南全文以逐条记录其推荐等级 | 该条目问窦性心律不齐的定义，但第71行实际讲的是体检报告后的后续评估与指南全文不可获取，未给定义。
RQ-24_研究任务 | 1.3 | answer-not-responsive | 13 | 与心血管死亡相关的所见是 ST-T 异常、心房颤动、Q 波、高振幅、电轴左偏与窦性心动过速，而非呼吸性窦性心律不齐本身。 | 该条目问与其他心律失常的界限指标，但第13行给出的是与心血管死亡相关的心电图所见，并非界限。
RQ-24_研究任务 | 4.3 | answer-not-responsive | 15 | 单项异常心电图所见因判别力低，不推荐用于普通人群的心血管风险分层。 | 该条目问哪些症状或心电图所见构成转诊/急诊指征，但第15行给出的是单项心电图所见不用于风险分层，未提及转诊指征。
RQ-24_研究任务 | 5.5 | answer-not-responsive | 85 | 据此作人群映射：无冠心病心绞痛诊断、无胸痛症状、仅有窦性心律不齐心电图所见的受检者，不在说明书功能主治所界定的人群内，也 | 该条目问存在冠心病危险因素或已有劳力性胸痛时需重新审视什么，但第85行仅作无胸痛无冠心病人群映射，未回答该问题。
RQ-24_研究任务 | 3.4 | gap-answered-in-verdict | 113 | 非呼吸性、伴窦性停搏或窦房传导阻滞、伴晕厥或结构性心脏病、老年人群的预后含义与普通呼吸性变异不同 | 该条目将这些高危情形的预后提示标为gap，但第113行结论已明确这些情形预后含义与普通呼吸性变异不同。
RQ-27_研究任务 | 3.5 | gap-answered-in-verdict | 113 | 胸痛持续不缓解、呈压榨或压迫感，或放射至臂、颈、颌、背，或伴出汗、恶心、头晕、气促，应立即拨打 120 | 问题要求需要即刻急诊评估而非门诊排查的警示特征，该行在临床实践要点中直接列出上述警示特征并要求立即拨打120。
RQ-27_研究任务 | 5.2 | gap-answered-in-verdict | 109 | 有症状无缺血客观证据者、胸痛伴警示特征或缺血未除外者，均无适应症内证据 | 问题要求三类情境分别可获得哪一层级证据，该行在结论中明确前两类无适应症内证据、已确诊者有随机对照证据但无绝经状态分层。
RQ-27_研究任务 | 1.1 | answer-not-responsive | 83 | 心绞痛持续发作宜加用硝酸酯类药 | 问题要求说明书功能主治／适应症、用法用量、禁忌、注意事项与特殊人群原文，该行只给出胸痛警示特征处置和一句注意事项，未提供说明书原文。
RQ-27_研究任务 | 2.1 | answer-not-responsive | 97 | 以围绝经期或绝经后、证属气滞血瘀型冠心病心绞痛的女性为对象 | 问题要求围绝经期至绝经后早期心血管改变的实测证据，该行给出的是未来随机对照试验设计，并非实测证据。
RQ-28_研究任务 | 2.2 | gap-answered-in-verdict | 21 | 其下游风险（就医延迟、儿童误服、过期失效）有登记与横断面证据支持 | 该条目将自我药疗相关的就诊延迟等下游结局标为空白，但摘要结论中却直接称这些下游风险已有登记与横断面证据支持，给出了答案。
RQ-28_研究任务 | 3.1 | false-gap | 63 | 90.4% 的中毒发生在家中 | 该条目把家庭囤药行为的量化代价标为空白，但第63行已经给出儿童急性中毒90.4%发生在家中、药物占25.6%等量化数据，属于证据性回答。
RQ-28_研究任务 | 4.4 | answer-not-responsive | 45 | 家庭常备、预防性服用、无医师诊断者、健康人群、长期备用 | 该条目询问现行冠心病一级预防、胸痛评估与心血管病防治指南对无诊断者家庭备置抗心绞痛药物的立场和证据等级，但第45行只说明这些用语未见于说明书，未涉及任何指南。
RQ-28_研究任务 | 5.8 | answer-not-responsive | 45 | 不能据此推断覆盖预防性持有或无诊断者的自我处置 | 该条目要求判断分歧究竟落在预防性持有与治疗用药、高危与确诊还是持有与使用上，但第45行仅陈述说明书不覆盖预防性持有，未对三种分歧位置作出判定。
RQ-29_研究任务 | 4.2 | false-gap | 93 | 约 46% 至 56% 的患者合并血管疾病（含冠心病） | 该条目问房颤与冠心病并存比例的人群数据，而该行已给出抗凝试验中患者合并血管疾病（含冠心病）的比例，属于证据支持的答案。
RQ-29_研究任务 | 2.1 | answer-not-responsive | 83 | 卒中预防的抗凝决策依据 CHA₂DS₂-VASc 危险分层而非症状轻重 | 该条目问指南对设备提示后的评估路径推荐，但该行给出的是抗凝决策依据 CHA₂DS₂-VASc 的分层，并非评估路径。
RQ-29_研究任务 | 1.2 | answer-not-responsive | 17 | 0.5% 收到不规则脉搏通知，同步心电图阳性预测值为 0.84，但后续心电图贴片仅确认 34%（153/450）为房颤 | 该条目问以参照标准验证的敏感性、特异性、阴阳预测值与不可判读比例，但该行给出的是大型筛查研究的检出与确认比例，属于不同场景。
RQ-29_研究任务 | 1.3 | answer-not-responsive | 35 | 这些筛查工具的特异度各不相同，在低患病率人群中会产生较高的假阳性率与不必要的诊疗 | 该条目问大型前瞻性研究的提示比例、确认比例与年龄危险因素构成，但该行仅给出一般性介绍与假阳性率说明，未提供具体研究数据。
RQ-29_研究任务 | 2.3 | gap-answered-in-verdict | 119 | 设备提示与临床确诊是必须分层陈述的两个层级 | 该条目问指南如何区分设备检出的房颤与临床确诊房颤，结论中已明确二者是必须分层陈述的两个层级，构成对同一子问题的回答。
RQ-29_研究任务 | 5.2 | gap-answered-in-verdict | 25 | 未出现在功能主治、禁忌或注意事项项下 | 该条目问心房颤动、心律失常、心悸是否出现在说明书中，摘要中已直接说明这些术语未出现在相应项下，构成回答。
RQ-26_研究任务 | 1.2 | gap-answered-in-verdict | 101 | 未载情绪、焦虑、心悸或安神等表述 | 问题问这些表述是否出现在说明书任一项下及角色，结论行却直接写明说明书未载这些表述，给出了事实性答案。
RQ-26_研究任务 | 2.6 | false-gap | 19 | 敏感度为 72%、特异度为 37%、阳性似然比 1.1 | 问题问含服硝酸酯缓解等鉴别要点的敏感度或似然比有无诊断准确性支持，该行已给出硝酸甘油缓解的敏感度、特异度与似然比。
RQ-26_研究任务 | 2.4 | answer-not-responsive | 77 | AHA/ACC 胸痛评估指南要求对急性和稳定性胸痛均采用结构化风险评估 | 问题问心悸或胸痛就诊者中各病因占比及队列来源与可比性，该行只给出指南评估原则，未提供任何比例数据。
RQ-26_研究任务 | 2.1 | answer-not-responsive | 23 | 情绪诱因既见于非心源性胸痛 | 问题问焦虑障碍与应激相关心血管主诉的病理生理路径，该行只将情绪诱因与心源性/非心源性事件关联，未说明交感激活等机制。
RQ-26_研究任务 | 3.2 | answer-not-responsive | 83 | 三类情境分别落点如下。已确诊冠心病者情绪应激诱发心绞痛发作 | 问题问转诊阈值与即刻急诊警示特征如何界定，该行只划分三类情境下的证据边界，未列出具体警示特征或转诊标准。
RQ-30_研究任务 | 4.4 | gap-answered-in-verdict | 97 | 无围检查期相互作用数据 | 问题4.4问有无药代动力学或相互作用数据，结论第97行已写到“无围检查期相互作用数据”，台账却标为gap。
RQ-30_研究任务 | 2.1 | answer-not-responsive | 15 | 未检索到以本品为干预、以检查前预防性给药或检查相关焦虑为对象的临床研究或试验注册记录 | 问题2.1问检查相关焦虑的证据状态，但第15行回答的是以本品为干预的研究缺失，未提供焦虑发生率、测量工具或关联等证据。
RQ-30_研究任务 | 5.8 | gap-answered-in-verdict | 101 | 已确诊冠心病者围检查期继续既有治疗属适应症内用药，与前两者不可混同 | 问题5.8问分歧的确切位置，结论第101行指出已确诊冠心病者与前两者不可混同，即“无诊断受检者与已确诊患者被并列”，台账却标为gap。
RQ-30_研究任务 | 5.9 | answer-not-responsive | 57 | 术前使用劳拉西泮或地西泮较无预处理显著降低焦虑（ΔVAS −2.0 对 −1.4，P=0.007 与 0.003） | 问题5.9要求指出具体是哪种分歧（焦虑vs缺血、无诊断vs已确诊、持有vs使用），但第57行讨论的是劳拉西泮等抗焦虑处置，未回答分歧位置。
RQ-30_研究任务 | 4.2 | answer-not-responsive | 55 | 报道的发生率为 24% 至 72% | 问题4.2问若存在本品试验其人群、对照、终点与效应量，但第55行报告的是冠脉造影/PCI人群的一般焦虑发生率，并非本品试验。
RQ-30_研究任务 | 2.6 | gap-answered-in-verdict | 107 | 其证据不包含任何中成药 | 问题2.6问这些推荐是否出现中成药或安抚药物，实践要点第107行明确说“其证据不包含任何中成药”，台账却标为gap。
RQ-30_研究任务 | 3.4 | answer-not-responsive | 109 | 自备药物亦不得替代检查场所的急救配置 | 问题3.4问现行指南对检查场所抢救设备、人员配置与应急流程的规定，但第109行只要求患者呼叫急救并指出自备药物不能替代急救配置，未给出指南规定。
RQ-22_研究任务 | 2.2 | answer-not-responsive | 51 | 该试验的主要结局为心绞痛疗效与心血管事件复合终点 | 该条目询问青年非特异性胸闷的五类病因构成比，但第51行仅叙述速效救心丸试验的纳入排除和心血管终点，未提供病因构成。
RQ-22_研究任务 | 3.1 | answer-not-responsive | 61 | 71% 死前曾出现可能的心源性症状（胸痛 26%、晕厥 22%、心悸 37%） | 该条目询问青年心源性猝死的发生率与病因分布，但第61行给出的是猝死前症状比例，未提供发病率或病因分布。
RQ-22_研究任务 | 4.5 | answer-not-responsive | 55 | 非心源性胸痛中以胃食管反流、惊恐或焦虑障碍、肌肉骨骼来源最常见 | 该条目询问阴性检查后安抚对非心源性胸痛症状和再就诊的效应，但第55行仅陈述非心源性胸痛的常见病因，无安抚效应数据。
RQ-10_研究任务 | 2.1 | answer-not-responsive | 65 | 关于 ACEI/ARB 联用的间接人体证据 | 该条目要求回答本品组分对血压、外周血管阻力与心率的效应方向和效应量，而所引第65行只陈述ACEI/ARB联用的间接人体证据和人体药效学相互作用空缺，回答的是药物相互作用而非组分效应。
RQ-10_研究任务 | 4.4 | gap-answered-in-verdict | 113 | 含服速效救心丸不是等待的理由：如需服用，应与呼叫 120 同时进行，而非先含服、无效再呼叫 | 该条目询问院外自行含服在指南路径中的位置及其证据基础，而临床实践要点第113行直接给出了“含服应与呼叫120同时进行、不得等待”的处置位置，属于已声明gap却在结论性章节给出答案。
RQ-18_研究任务 | 2.2 | answer-not-responsive | 89 | 将劳力性胸痛在无客观检查条件下归入 | 该条目问各特定病因（胸壁肌肉劳损、肋软骨炎、胃食管反流、心绞痛、心肌病等）的构成比，而该行只讨论将劳力性胸痛归入“非典型”和肥厚型心肌病/冠脉起源异常机制，未给出病因占比。
RQ-18_研究任务 | 4.3 | answer-not-responsive | 103 | 以院外发作的运动诱发胸痛、无心血管诊断者为对象，以安慰剂为对照 | 该条目问已发表的稳定性心绞痛 RCT 和 meta 分析中运动诱发分层或运动负荷客观终点的效应量，而该行提出的是未来需进行的安慰剂对照试验，未回答已有证据。
