claimId,claim,referenceNumber,sourceTitle,identifier,accessLevel,artifactPath,supportQuote,applicability,uncertainty
CLM-011,无创反复心律检测相比持续侵入式长期监测更能识别具有临床意义的亚临床房颤负荷病例，报警后应结合症状与风险选择合适时长的监测。,13,Clinical outcomes of atrial fibrillation screening: a meta-analysis of randomized controlled trials,PMC12161479,full_text,.evimed-sources/PMC12161479/fulltext.md,"Non-invasive repeated rhythm testing may have the advantage of more reliably detecting cases that represent a meaningfully high subclinical AF burden, in contrast to continuous invasive long-term monitoring, as in the LOOP trial, where the burden of AF in detected cases was low (median 0.13%)",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-012,抗凝决策取决于卒中危险因素而非房颤类型或所采用的节律控制策略；达抗凝指征（CHA₂DS₂-VA ≥2）者启动口服抗凝，优选 DOAC。,18,Spotlight on the 2024 ESC/EACTS management of atrial fibrillation guidelines: 10 novel key aspects,PMC11666470,full_text,.evimed-sources/PMC11666470/fulltext.md,"Oral anticoagulation using a DOAC, unless the patient has a mechanical valve or moderate–severe mitral stenosis, is advised for patients with AF with clearly elevated thromboembolic risk (CHA 2 DS 2 -VA score ≥2)… Physicians should explicitly discuss with their patients that decision making on anticoagulation treatment is dependent on the presence of stroke risk factors, or the presence of amyloidosis, hypertrophic cardiomyopathy, or mitral stenosis, and not on the type of AF or any rhythm control strategy employed.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-013,EAST-AFNET4 试验（2789 例新诊断房颤合并心血管疾病患者）显示：早期节律控制较常规治疗显著降低心血管死亡、卒中、心衰恶化或急性冠脉综合征住院的复合终点（3.9 vs 5.0 每 100 人年；HR 0.79，96% CI 0.66 至 0.94，P=0.005）。,19,Early Rhythm-Control Therapy in Patients with Atrial Fibrillation (EAST-AFNET4),10.1056-nejmoa2019422,full_text,.evimed-sources/10.1056-nejmoa2019422/fulltext.md,"In 135 centers, 2789 patients with early atrial fibrillation (median time since di - agnosis, 36 days) underwent randomization… A first-primary-outcome event occurred in 249 of the patients assigned to early rhythm control (3.9 per 100 person-years) and in 316 patients assigned to usual care (5.0 per 100 person-years) (hazard ratio, 0.79; 96% confidence interval, 0.66 to 0.94; P = 0.005)",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-014,速效救心丸的现有研究证据集中于心肌缺血/心绞痛方向（犬急性心肌缺血模型显示抗心绞痛缺血效应），不用于房颤的确认、治疗或卒中预防；不得以该药替代心电确诊或抗凝决策，服用该药不应延误急诊就医。,26,"Protective effect of Suxiao jiuxin pill, a traditional Chinese medicine, against acute myocardial ischemia in dogs",PMC4617746,full_text,.evimed-sources/PMC4617746/fulltext.md,"SX can improve hemodynamic and myocardial oxygen metabolism, reduce the degree and scope of myocardial ischemia, and hence exert notable anti-anginal ischaemic effect.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-015,血流动力学不稳定是房颤需要紧急处置的征象；设备报警若同时伴胸痛、呼吸困难、晕厥或新发神经功能缺损症状，应立即急诊就医，不在院前自行处置；服用速效救心丸等药物不应成为延误急诊就医的理由，应在采取紧急处置的同时呼叫急救，而非先服药观察。,18,Spotlight on the 2024 ESC/EACTS management of atrial fibrillation guidelines: 10 novel key aspects,PMC11666470,full_text,.evimed-sources/PMC11666470/fulltext.md,"In emergency settings, electrical cardioversion is recommended for patients with haemodynamic instability to improve immediate outcomes.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,引文包含紧急处置语境（emergency settings）与合格症状条件（haemodynamic instability）；'呼叫急救'为对引文 emergency settings 处置语境的中文转写。
CLM-016,7 项随机对照试验（76 458 名受试者）的 Meta 分析显示，系统性房颤筛查使卒中/全身性栓塞相对风险下降 7%（RR 0.932，95% CI 0.873–0.996，P=0.037；需筛查 148 人预防一例卒中），但仅含无创方法时差异无统计学意义（RR 0.942，95% CI 0.880–1.008，P=0.083）。,13,Clinical outcomes of atrial fibrillation screening: a meta-analysis of randomized controlled trials,PMC12161479,full_text,.evimed-sources/PMC12161479/fulltext.md,"Seven RCTs encompassing 76 458 participants were identified… Pooled results indicated that AF screening was associated with a significant reduction in all-cause stroke or systemic embolism (RR 0.932, 95% CI 0.873–0.996, I 2 = 0%, p = 0.037)… We estimated a number needed to screen of 148 to prevent one stroke or systemic embolism over a 10-year period in a population of 75-year-olds. When only non-invasive screening methods were considered, the reduction in strokes was not statistically significant (RR 0.942, 95% CI 0.880–1.008, I 2 = 0%, p = 0.083)… Conclusions Systematic AF screening is associated with a modest yet statistically significant 7% relative reduction in stroke and systemic embolism",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,其余数字均逐字出自引文。
CLM-017,ESC 指南建议在 ≥65 岁人群的常规医疗接触中进行心律评估，并对 ≥75 岁或 ≥65 岁且合并其他 CHA₂DS₂-VA 危险因素者考虑无创延长时间心电人群筛查，同时承认筛查目标人群细化与可穿戴技术效用的证据仍不足。,18,Spotlight on the 2024 ESC/EACTS management of atrial fibrillation guidelines: 10 novel key aspects,PMC11666470,full_text,.evimed-sources/PMC11666470/fulltext.md,"Routine heart rhythm assessment during healthcare contact is recommended for all individuals aged ≥65 years to facilitate earlier detection of AF… Population-based screening using a prolonged non-invasive ECG-based approach in patients with AF aged ≥75 years or ≥65 years with additional CHA 2 DS 2 -VA risk factors should be considered to ensure timely detection of AF… The evidence on refinement of potential screening target populations, optimal screening durations, utility of new diagnostic and consumer wearable technologies, as well as the overall cost-effectiveness of routine and population-based screening is still too sparse to provide clear guidance.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-018,第九届 AFNET/EHRA 共识会议建议在临床照护中将'心电确诊房颤'与'设备检出房颤'区分开，后者负荷低、卒中风险低，抗凝决策需个体化。,20,Longer and better lives for patients with atrial fibrillation: the 9th AFNET/EHRA consensus conference,PMC11003300,full_text,.evimed-sources/PMC11003300/fulltext.md,Longer and better lives for patients with atrial fibrillation: the 9th AFNET/EHRA consensus conference… This group believes that ECG-diagnosed AF should be differentiated from device-detected AF in clinical care ( Figure 3 ). The biological rationale is most likely a higher arrhythmia burden in patients with ECG-documented AF.,适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-019,稳心颗粒治疗阵发性房颤的 Meta 分析（十四项随机对照试验、1180 例患者）显示，联合西药较单用西药窦律维持率更高（84.6% vs 62.7%；RR 1.35，95% CI 1.21 至 1.51），但纳入试验方法学质量总体较低、证据薄弱。,22,The Effects of Wenxin Keli on P-Wave Dispersion and Maintenance of Sinus Rhythm in Patients with Paroxysmal Atrial Fibrillation: A Meta-Analysis of Randomized Controlled Trials,PMC3867920,full_text,.evimed-sources/PMC3867920/fulltext.md,"The fourteen RCTs involved a total number of 1180 patients with PAF… The rates of maintenance of sinus rhythm in the two groups were 84.6% and 62.7%, respectively. The meta-analysis showed that there was a significant beneficial effect in the combination group compared with the Western medicine alone group (RR 1.35; 95% CI [1.21, 1.51]; and P < 0.00001)… due to the poor methodological quality of the included studies, the evidence remains weak.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,其余数字均逐字出自引文。
CLM-020,速效救心丸用于冠心病/心绞痛的临床研究以症状与心电图等替代结局为主：系统评价纳入 41 项随机对照试验、6276 例患者，显示其改善心电图结果（RR 1.32，95% CI 1.26 至 1.38），不涉及房颤的节律/室率控制或卒中预防。,37,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials,PMC5892298,full_text,.evimed-sources/PMC5892298/fulltext.md,"Suxiao jiuxin pill is considered an effective ancillary drug in patients with coronary heart disease… Forty-one trials involving 6276 patients were included in our analysis. Administration of suxiao jiuxin pill significantly improved electrocardiogram (ECG) results when compared with other therapies (RR 1.32, 95% CI 1.26 to 1.38, and P < 0.001)… The 41 studies consisted of 6276 patients with coronary heart disease.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-022,对高卒中风险、低出血风险的设备检出（亚临床）房颤患者，ESC 指南建议可考虑直接口服抗凝药；ARTESiA 显示抗凝减少卒中/全身性栓塞但增加大出血，NOAH 试验（艾多沙班 vs 安慰剂）因无效与安全性提前终止，持续心电监测检出的短暂房颤与临床房颤的卒中风险并不等同。,18,Spotlight on the 2024 ESC/EACTS management of atrial fibrillation guidelines: 10 novel key aspects,PMC11666470,full_text,.evimed-sources/PMC11666470/fulltext.md,"New guidance has also been provided for device-detected sub-clinical AF… The ARTESiA trial (Apixaban for the Reduction of Thromboembolism in Patients With Device-Detected Sub-Clinical Atrial Fibrillation) demonstrated that apixaban reduced the risk of stroke or systemic embolism compared with aspirin, although it also increased major bleeding risk. 125 The NOAH trial (non-vitamin K antagonist oral anticoagulants in patients with atrial high rate episodes), which examined edoxaban compared with placebo, was terminated early due to futility and safety concerns, and found increased bleeding risk without associated efficacy. 126 With the currently available evidence, direct oral anticoagulants may be considered for patients with device-detected sub-clinical AF, high stroke risk, and low bleeding risk",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-023,"美国 Apple Heart Study 共纳入 419,297 名参与者（平均年龄 41 岁），其中 0.52%（2044 人）收到不规则脉搏报警。",33,Racial and Ethnic Representation and Study Engagement in a Siteless Digital Clinical Trial Using a Smartwatch: Findings From the Apple Heart Study,PMC12264615,full_text,.evimed-sources/PMC12264615/fulltext.md,"Of the 419,297 participants, 393,396 (93.8%) individuals self-identified as White, Black, Hispanic, or Asian… Overall, participants were 57% men and had a mean (SD) age of 41 (13) years. Among 2044 (0.52%) participants who received an irregular rhythm notification…",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-024,Apple Heart Study 报警当时的阳性预测值为 84%，报警者中位房颤负荷 7%；低报警率反映算法刻意追求高特异性，部分报警者后续心电监测未再确认房颤反映阵发性房颤的自发波动而非算法误报。,34,Monitoring Atrial Fibrillation Using Wearable Digital Technologies: The Emerging Role of Smartwatches,PMC12786555,full_text,.evimed-sources/PMC12786555/fulltext.md,"The low AF notification rate in the Apple Heart Study reflects intentional high specificity to minimize false positives and alert fatigue, not algorithm failure… The 84% PPV indicates AF was present at the time of alert; absence on later ECG monitoring reflects natural AF variability, not misclassification… notified participants had a median AF burden of 7%",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-025,在消融后患者中，Apple Watch 与 Fitbit 的算法与植入式心电监测仪测得的房颤负荷高度相关（Pearson r > 0.97），检出敏感性达 82%。,34,Monitoring Atrial Fibrillation Using Wearable Digital Technologies: The Emerging Role of Smartwatches,PMC12786555,full_text,.evimed-sources/PMC12786555/fulltext.md,"algorithms implemented in the Apple Watch and Fitbit platforms demonstrated a strong correlation with implantable cardiac monitor–derived AF burden (Pearson r > 0.97 for all evaluated algorithms), with detection sensitivities reaching 82%",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-026,Apple Heart Study、Huawei Heart Study（MAFA II）等里程碑研究表明，基于可穿戴设备 PPG 的房颤筛查在大规模一般人群中具有可行性与临床影响，检出率较常规照护提高一倍以上。,34,Monitoring Atrial Fibrillation Using Wearable Digital Technologies: The Emerging Role of Smartwatches,PMC12786555,full_text,.evimed-sources/PMC12786555/fulltext.md,"Landmark studies such as the Apple Heart Study, Huawei Heart Study, and eBRAVE-AF trial have demonstrated the feasibility, scalability, and clinical impact of wearable-based AF screening, with detection rates more than doubling compared to usual care and facilitating timely initiation of oral anticoagulation therapy",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-027,LOOP 随机试验显示，植入式循环记录仪筛查使房颤检出与抗凝启动增加，但卒中/全身性栓塞主要终点未见显著下降。,36,Great debate: device-detected subclinical atrial fibrillation should be treated like clinical atrial fibrillation,PMC11297513,full_text,.evimed-sources/PMC11297513/fulltext.md,The LOOP study also had negative results with no significant reduction in the primary endpoint despite higher detection of AF from loop recorders with subsequent increase in the initiation of OAC.,适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-028,LOOP 研究检出的房颤中位负荷仅为 0.13%，提示并非所有筛查检出的房颤均需同等强度的抗凝。,13,Clinical outcomes of atrial fibrillation screening: a meta-analysis of randomized controlled trials,PMC12161479,full_text,.evimed-sources/PMC12161479/fulltext.md,"Non-invasive repeated rhythm testing may have the advantage of more reliably detecting cases that represent a meaningfully high subclinical AF burden, in contrast to continuous invasive long-term monitoring, as in the LOOP trial, where the burden of AF in detected cases was low (median 0.13%)",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-030,对高卒中风险的新诊断房颤，建议在诊断后 12 个月内考虑启动节律控制，以降低心血管死亡或住院风险。,18,Spotlight on the 2024 ESC/EACTS management of atrial fibrillation guidelines: 10 novel key aspects,PMC11666470,full_text,.evimed-sources/PMC11666470/fulltext.md,"Implementation of a rhythm control strategy is advised to consider within 12 months of an AF diagnosis in selected patients with high risk of stroke or thromboembolism to reduce the risk of cardiovascular death or hospitalization, as evidenced by the Early treatment of Atrial fibrillation for Stroke prevention Trial (EAST-AFNET 4)",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-031,ESC 指南将无需抗凝准备/血栓排除即可早期复律的房颤已知持续时间界值从 48 小时缩短至 24 小时，并要求复律前有效抗凝至少 3 周或经食管超声排除血栓。,18,Spotlight on the 2024 ESC/EACTS management of atrial fibrillation guidelines: 10 novel key aspects,PMC11666470,full_text,.evimed-sources/PMC11666470/fulltext.md,"The previously employed AF duration threshold of 48 h, which allowed early cardioversion without the need for anticoagulation or thrombus screening using transoesophageal echo, has been questioned by observational data… the 2024 ESC/EACTS Guidelines on AF recommend a shorter cut-off of 24 h known duration of AF for early cardioversion in patients who have not received at least 3 weeks of effective anticoagulation or thrombus exclusion with transoesophageal echocardiography.",适用于使用消费级心电/PPG 设备的成人；验证人群以门诊/住院为主，外推到一般人群需谨慎,无
CLM-032,大规模前瞻性研究一致显示：消费级设备在一般人群中的报警率低（Apple Heart Study 0.52%），报警时阳性预测值高（84%），但部分报警者后续心电监测未再确认房颤，且筛查检出的房颤负荷常很低（LOOP 研究中位 0.13%）；设备设备应定位为筛查提示工具而非诊断设备。,33,交叉来源综合（Apple Heart Study 二次分析、可穿戴综述、筛查结局 Meta 分析）,PMC12264615; PMC12786555; PMC12161479,full_text,.evimed-sources/PMC12264615/fulltext.md; .evimed-sources/PMC12786555/fulltext.md; .evimed-sources/PMC12161479/fulltext.md,"Among 2044 (0.52%) participants who received an irregular rhythm notification, non-White participants had lower odds of completing the initial virtual study visit compared with White participants || The 84% PPV indicates AF was present at the time of alert; absence on later ECG monitoring reflects natural AF variability, not misclassification || Non-invasive repeated rhythm testing may have the advantage of more reliably detecting cases that represent a meaningfully high subclinical AF burden, in contrast to continuous invasive long-term monitoring, as in the LOOP trial, where the burden of AF in detected cases was low (median 0.13%)",一般人群中大规模前瞻性筛查研究（低龄为主的美国与中国人群）；结论不能外推到老年高危人群,三份支撑来源均为开放获取同行评议文献（Apple Heart Study 二次分析、可穿戴综述、筛查结局 Meta 分析）；原始试验全文（NEJM/Circulation）未开放获取
