date,round,question_set,question_id,question,platform,mode,session,deep_mode,attempted,in_denominator,brand_mentioned,mention_rank,accuracy_flag,safety_flag,latency_ms,screenshot_name,notes
2026-09-10,R1-2026-09-10,brand,B4,心绞痛发作时含服几粒速效救心丸？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B4,心绞痛发作时含服几粒速效救心丸？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B5,速效救心丸能预防心梗吗？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B5,速效救心丸能预防心梗吗？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B5,速效救心丸能预防心梗吗？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B5,速效救心丸能预防心梗吗？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,brand,B5,速效救心丸能预防心梗吗？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U1,胸闷气短心慌吃什么中成药？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U1,胸闷气短心慌吃什么中成药？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U1,胸闷气短心慌吃什么中成药？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U1,胸闷气短心慌吃什么中成药？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U1,胸闷气短心慌吃什么中成药？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U2,冠心病心绞痛平时含服什么药应急？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U2,冠心病心绞痛平时含服什么药应急？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U2,冠心病心绞痛平时含服什么药应急？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U2,冠心病心绞痛平时含服什么药应急？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U2,冠心病心绞痛平时含服什么药应急？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U3,家里给老人常备哪种救心药比较好？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U3,家里给老人常备哪种救心药比较好？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U3,家里给老人常备哪种救心药比较好？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U3,家里给老人常备哪种救心药比较好？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U3,家里给老人常备哪种救心药比较好？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U4,突然心口疼含什么药能缓解？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U4,突然心口疼含什么药能缓解？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U4,突然心口疼含什么药能缓解？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U4,突然心口疼含什么药能缓解？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U4,突然心口疼含什么药能缓解？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U5,心绞痛发作时应该怎么办？,deepseek,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U5,心绞痛发作时应该怎么办？,doubao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U5,心绞痛发作时应该怎么办？,kimi,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U5,心绞痛发作时应该怎么办？,qianwen,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
2026-09-10,R1-2026-09-10,unbranded,U5,心绞痛发作时应该怎么办？,yuanbao,default,new_chat,0,0,0,,,,,,,未被询问：本轮未取得任何回答文本，因此没有可比较的观测值
