claimId,referenceNumber,supportQuote,claimType,sourceTitle
CLM-021,14,"enhancements in forearm blood flow, using intra-arterial administration of GTN, but such improvements were still shown to be 40% lower in mutant subjects … which led Mackenzie and co-workers to conclude that while important, under half of GTN’s total bioactivation was ALDH2 dependent",direct,"Glyceryl Trinitrate: History, Mystery, and Alcohol Intolerance"
CLM-022,20,"EMS delay time was independently associated with a higher risk of mortality (adjusted OR 1.20; 95% CI 1.02 to 1.40, for every 30 min increase) … Over the study period, a total of 2976 patients with STEMI presented to Ambulance Victoria and underwent PPCI at an interventional hospital.",direct,Impact of emergency medical service delays on time to reperfusion and mortality in STEMI
CLM-023,20,EMS delay time accounted for the first half of total system delay (median=59 min (IQR=48–77)),direct,Impact of emergency medical service delays on time to reperfusion and mortality in STEMI
CLM-024,21,"adjusted in-hospital mortality rises progressively: from 3.0% at 30 min to 3.5% at 60 min, 4.3% at 90 min, and 7.0% at 150 min",direct,The Irreversible March of Time: Ischemic Delay and Impact on Outcomes in ST-Segment Elevation Myocardial Infarction
CLM-025,21,each 30 min reperfusion delay increases one-year mortality risk by 7.5%,direct,The Irreversible March of Time: Ischemic Delay and Impact on Outcomes in ST-Segment Elevation Myocardial Infarction
CLM-026,21,"Median patient decision delay approximates 100 min, constituting nearly 60% of pre-hospital delay",direct,The Irreversible March of Time: Ischemic Delay and Impact on Outcomes in ST-Segment Elevation Myocardial Infarction
CLM-027,8,The 41 studies consisted of 6276 patients with coronary heart disease.,direct,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-028,8,All of the included studies were conducted in China.,direct,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-029,8,"Pooled analysis indicated significant benefits of suxiao jiuxin pill on ECG outcomes (RR 1.32; 95% CI 1.26 to 1.38, P < 0.001). … The subgroup analyses indicated that suxiao jiuxin pill improved ECG results more than salvia tablets (RR 1.54; 95% CI 1.41 to 1.67, P < 0.001), isosorbide dinitrate (RR 1.14; 95% CI 1.05 to 1.22, P = 0.001), nitroglycerin (RR 1.35, 95% CI 1.16 to 1.56, P < 0.001), and other drugs (RR 1.32, 95% CI 1.21 to 1.44, P < 0.001).",direct,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-030,8,The majority of the included studies received low Jadad scores due to the lack of a double-blind design,direct,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-031,8,"There was no significant difference in the adverse reaction rates between the treatment and the control groups (RR 1.12, 95% CI 0.50 to 2.51, and P = 0.785)",direct,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-032,8,"The primary outcome of the selected studies was the improvement in ECG results, including resting ECG returning to normal or negative submaximal exercise test.",direct,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-033,8,"In this study, we did not analyze cardiovascular death or drug-related complications.",direct,Efficacy of Suxiao Jiuxin Pill on Coronary Heart Disease: A Meta-Analysis of Randomized Controlled Trials
CLM-034,24,"Immediate action required: Call 999 if: … you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",direct,Chest pain - NHS
CLM-035,1,Relief of chest pain with nitroglycerin is not a reliable diagnostic test and does not distinguish between cardiac and non-cardiac chest pain.,synthesized,
CLM-036,2,the recommended doses of NTG include sublingual or spray (0.3 to 0.6 mg) every 5 minutes up to a maximum of 3 doses,synthesized,
CLM-038,1,"Cardiac chest pain — defined for this study as chest pain associated with 1 of the following: 1) new ECG changes of 1 mm in 2 contiguous leads, 2) positive cardiac troponin T >0.3 mcg/L (normal level <0.3 mcg/L)",direct,"Chest pain in emergency department patients: if the pain is relieved by nitroglycerin, is it more likely to be cardiac c"
CLM-040,13,"The NTG efficacies of the GG and the GA/AA subgroups were 79.4% and 50.6%, respectively.",synthesized,
