分组,类别,名称,机构,语言,地区,读法,梯队,出口,每周条数,提供什么,本机核查,生产机核查,防护,入口地址,备用入口,备注,id
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,JAMA 内科学,American Medical Association,en,INT,Crossref + PubMed,P0,直连,6,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2168-6106/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2168-6106[is]+OR+2168-6114[is]),"ISSN 2168-6106, 2168-6114；近 30 天 Crossref 32 篇、PubMed 31 篇；Crossref 自带摘要：是",j-2168-6106
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,JAMA Health Forum,American Medical Association,en,INT,Crossref + PubMed,P0,直连,5,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2689-0186/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2689-0186[is]),ISSN 2689-0186；近 30 天 Crossref 24 篇、PubMed 24 篇；Crossref 自带摘要：是,j-2689-0186
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,英国医学杂志 The BMJ,,en,INT,Crossref + PubMed,P0,直连,57,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1756-1833/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0959-8138[is]+OR+1756-1833[is]),"ISSN 0959-8138, 1756-1833；近 30 天 Crossref 216 篇、PubMed 186 篇；Crossref 自带摘要：否",j-1756-1833
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,BMJ Medicine,BMJ,en,INT,Crossref + PubMed,P0,直连,4,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2754-0413/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2754-0413[is]),ISSN 2754-0413；近 30 天 Crossref 5 篇、PubMed 4 篇；Crossref 自带摘要：是,j-2754-0413
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,BMJ Open,BMJ,en,INT,Crossref + PubMed,P0,直连,89,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2044-6055/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2044-6055[is]),ISSN 2044-6055；近 30 天 Crossref 288 篇、PubMed 289 篇；Crossref 自带摘要：是,j-2044-6055
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,内科学年鉴 Annals of Internal Medicine,American College of Physicians,en,INT,Crossref + PubMed,P0,直连,17,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0003-4819/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0003-4819[is]+OR+1539-3704[is]),"ISSN 0003-4819, 1539-3704；近 30 天 Crossref 55 篇、PubMed 55 篇；Crossref 自带摘要：否",j-0003-4819
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,自然-医学 Nature Medicine,Nature Portfolio,en,INT,Crossref + PubMed,P0,直连,23,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1078-8956/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1078-8956[is]+OR+1546-170X[is]+OR+1744-7933[is]),"ISSN 1078-8956, 1546-170X, 1744-7933；近 30 天 Crossref 68 篇、PubMed 73 篇；Crossref 自带摘要：否",j-1078-8956
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,自然 Nature,Nature Portfolio,en,INT,Crossref + PubMed,P0,直连,94,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0028-0836/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0028-0836[is]+OR+1476-4687[is]),"ISSN 0028-0836, 1476-4687；近 30 天 Crossref 336 篇、PubMed 349 篇；Crossref 自带摘要：否",j-0028-0836
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,科学 Science,American Association for the Advancement of Science,en,INT,Crossref + PubMed,P0,直连,37,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0036-8075/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0036-8075[is]+OR+0193-4511[is]+OR+1095-9203[is]),"ISSN 0036-8075, 0193-4511, 1095-9203；近 30 天 Crossref 152 篇、PubMed 146 篇；Crossref 自带摘要：否",j-0036-8075
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,科学-转化医学,American Association for the Advancement of Science,en,INT,Crossref + PubMed,P0,直连,6,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1946-6234/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1946-6234[is]+OR+1946-6242[is]),"ISSN 1946-6234, 1946-6242；近 30 天 Crossref 27 篇、PubMed 28 篇；Crossref 自带摘要：是",j-1946-6234
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,细胞 Cell,Cell Press,en,INT,Crossref + PubMed,P0,直连,19,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0092-8674/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0092-8674[is]+OR+1097-4172[is]),"ISSN 0092-8674, 1097-4172；近 30 天 Crossref 48 篇、PubMed 47 篇；Crossref 自带摘要：否",j-0092-8674
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,Cell Reports Medicine,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,8,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2666-3791/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2666-3791[is]),ISSN 2666-3791；近 30 天 Crossref 37 篇、PubMed 36 篇；Crossref 自带摘要：否,j-2666-3791
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,Med（Cell Press）,,en,INT,Crossref + PubMed,P0,直连,5,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2666-6340/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2666-6340[is]+OR+2666-6359[is]),"ISSN 2666-6340, 2666-6359；近 30 天 Crossref 16 篇、PubMed 16 篇；Crossref 自带摘要：否",j-2666-6340
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,PLOS Medicine,Public Library of Science,en,INT,Crossref + PubMed,P0,直连,7,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1549-1676/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1549-1277[is]+OR+1549-1676[is]),"ISSN 1549-1277, 1549-1676；近 30 天 Crossref 30 篇、PubMed 30 篇；Crossref 自带摘要：否",j-1549-1676
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,加拿大医学会杂志 CMAJ,Canadian Medical Association,en,INT,Crossref + PubMed,P0,直连,20,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0820-3946/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0820-3946[is]+OR+1488-2329[is]),"ISSN 0820-3946, 1488-2329；近 30 天 Crossref 42 篇、PubMed 32 篇；Crossref 自带摘要：否",j-0820-3946
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,澳大利亚医学杂志 MJA,Wiley,en,INT,Crossref + PubMed,P0,直连,10,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0025-729X/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0025-729X[is]+OR+1326-5377[is]),"ISSN 0025-729X, 1326-5377；近 30 天 Crossref 28 篇、PubMed 26 篇；Crossref 自带摘要：是",j-0025-729x
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,自然-通讯,Nature Portfolio,en,INT,Crossref + PubMed,P0,直连,265,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2041-1723/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2041-1723[is]),ISSN 2041-1723；近 30 天 Crossref 938 篇、PubMed 1080 篇；Crossref 自带摘要：是,j-2041-1723
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,美国国家科学院院刊 PNAS,National Academy of Sciences,en,INT,Crossref + PubMed,P0,直连,95,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0027-8424/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0027-8424[is]+OR+1091-6490[is]),"ISSN 0027-8424, 1091-6490；近 30 天 Crossref 374 篇、PubMed 373 篇；Crossref 自带摘要：是",j-0027-8424
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,eLife,eLife Sciences Publications Ltd,en,INT,Crossref + PubMed,P0,直连,19,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2050-084X/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2050-084X[is]),ISSN 2050-084X；近 30 天 Crossref 68 篇、PubMed 78 篇；Crossref 自带摘要：是,j-2050-084x
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,临床研究杂志 JCI,American Society for Clinical Investigation,en,INT,Crossref + PubMed,P0,直连,20,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1558-8238/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0021-9738[is]+OR+1558-8238[is]),"ISSN 0021-9738, 1558-8238；近 30 天 Crossref 57 篇、PubMed 56 篇；Crossref 自带摘要：是",j-1558-8238
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,Mayo Clinic Proceedings,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,3,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0025-6196/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0025-6196[is]+OR+1942-5546[is]),"ISSN 0025-6196, 1942-5546；近 30 天 Crossref 26 篇、PubMed 22 篇；Crossref 自带摘要：否",j-0025-6196
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,中华医学杂志英文版 CMJ,Lippincott Williams & Wilkins,en,INT,Crossref + PubMed,P0,直连,22,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/0366-6999/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(0366-6999[is]+OR+2542-5641[is]),"ISSN 0366-6999, 2542-5641；近 30 天 Crossref 50 篇、PubMed 51 篇；Crossref 自带摘要：是",j-0366-6999
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,信号转导与靶向治疗 STTT,Springer Nature,en,INT,Crossref + PubMed,P0,直连,17,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2059-3635/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2059-3635[is]+OR+2095-9907[is]),"ISSN 2059-3635, 2095-9907；近 30 天 Crossref 54 篇、PubMed 54 篇；Crossref 自带摘要：否",j-2059-3635
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,细胞研究 Cell Research,Springer Nature,en,INT,Crossref + PubMed,P0,直连,3,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/1748-7838/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(1001-0602[is]+OR+1748-7838[is]),"ISSN 1001-0602, 1748-7838；近 30 天 Crossref 10 篇、PubMed 10 篇；Crossref 自带摘要：否",j-1748-7838
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,国家科学评论 NSR,Oxford University Press,en,INT,Crossref + PubMed,P0,直连,12,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2053-714X/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2053-714X[is]+OR+2095-5138[is]),"ISSN 2053-714X, 2095-5138；近 30 天 Crossref 83 篇、PubMed 52 篇；Crossref 自带摘要：是",j-2053-714x
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,科学通报（英文版）,,en,INT,Crossref + PubMed,P0,直连,20,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2095-9273/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2095-9273[is]+OR+2095-9281[is]),"ISSN 2095-9273, 2095-9281；近 30 天 Crossref 103 篇、PubMed 77 篇；Crossref 自带摘要：否",j-2095-9273
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,军事医学研究 MMR,BioMed Central,en,INT,Crossref + PubMed,P0,直连,1,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2054-9369/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2054-9369[is]+OR+2095-7467[is]),"ISSN 2054-9369, 2095-7467；近 30 天 Crossref 3 篇、PubMed 4 篇；Crossref 自带摘要：否",j-2054-9369
一、临床证据：期刊、文献流与预印本,综合与基础顶刊,The Innovation,Elsevier BV,en,INT,Crossref + PubMed,P0,直连,2,新发表论文（Crossref 登记即发现，PubMed / Europe PMC 补摘要与文献类型）,api-ok,api-ok,,"https://api.crossref.org/journals/2666-6758/works?filter=from-created-date:2026-09-14,type:journal-article&rows=100&sort=created&order=desc&select=DOI,title,created,type,abstract,author,container-title",https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&retmode=json&retmax=100&datetype=edat&reldate=7&term=(2666-6758[is]),ISSN 2666-6758；近 30 天 Crossref 20 篇、PubMed 22 篇；Crossref 自带摘要：否,j-2666-6758
