claimId,claimType,referenceNumber,evidenceType,sourceTitle,identifier,artifactPath,accessLevel,supportQuote
CLM-019,direct,3,,Chest Pain in Primary Care: A Systematic Review of Risk Stratification Tools to Rule Out Acute Coronary Syndrome,doi:10.1370/afm.3141,.evimed-sources/10.1370-afm.3141/fulltext.md,full_text,"Sensitivities ranged from 75.0% to 97.0%, and … negative predictive values (NPV) ranged from 82.4% to 99.7%. … Clinical decision rules without troponin and the use of conventional troponin showed insufficient sensitivity to rule out ACS in primary care and are not recommended as … standalone tools."
CLM-020,direct,12,,"Improving chest pain risk assessment: validation of HEART, TIMI, GRACE, EDACS-ADP, and HET for MACE prediction in the emergency department",doi:10.1186/s12873-025-01327-4,.evimed-sources/PMC12374469/fulltext.md,full_text,"A total of 274 patients were finally included. … The HEART score demonstrated the highest AUC: 0.925 and sensitivity: 97.1%; NPV: 98.18% at cut-off ≤ 3, followed closely by the HET score with AUC: 0.906 and sensitivity: 92.6%; NPV: 95.58% at cut-off ≤ 1 … EDACS-ADP 0.803 (0.747–0.859)"
CLM-021,direct,11,,A systematic review of the applicability of emergency department assessment of chest pain score-accelerated diagnostic protocol for risk stratification of patients with chest pain,doi:10.1002/clc.24126,.evimed-sources/PMC10642332/fulltext.md,full_text,"Twelve studies comprising 14 290 patients were identified. … EDACS‐ADP showed a combined sensitivity of 0.97 (95% confidence interval [CI]: 0.95−0.99); specificity, 0.58 (0.53−0.63); positive DLR, 2.34 (2.08−2.63); negative DLR, 0.04 (0.02−0.09) … Of the 12 studies included in the systematic review, 1671 of 14,290 patients (12%) experienced MACE within 30 days of patients' ED presentation … 7537 (52.74%) of the pooled patient group were classified as low risk, while 67 (0.89%) patients in the low‐risk group suffered from MACE within 30‐days of patients' ED presentation … with all I 2 > 75%. These findings indicate a high level of heterogeneity among the studies"
CLM-022,direct,11,,A systematic review of the applicability of emergency department assessment of chest pain score-accelerated diagnostic protocol for risk stratification of patients with chest pain,doi:10.1002/clc.24126,.evimed-sources/PMC10642332/fulltext.md,full_text,"which allows clinicians to perform risk stratification of patients with chest pain by combining the patient's troponin results at 0 and 2 hour … A study has shown that a MACE incidence >1% among low‐risk patients was unacceptable to nearly half of the physicians, whereas an incidence >2% was unacceptable to most physicians."
CLM-023,direct,13,,Computerized Self-Reported Medical History Taking to Support Early Rule Out of Major Adverse Cardiac Events in Patients With Acute Chest Pain: Post Hoc Analysis of the CLEOS-CPDS Prospective Cohort Study,doi:10.2196/76087,.evimed-sources/PMC12936665/fulltext.md,full_text,"for ruling out 30-day major adverse cardiac events (MACEs) or acute coronary syndrome (ACS) … Among 1000 participants … Negative predictive values were 0.99 (95% CI 0.97-1.00) for both outcomes. … The MACE miss rate among patients classified as low risk was 2 out of 286 (0.70%; T-MACS), 4 out of 416 (1.0%; D-HEART), 4 out of 346 (1.2%; EDACS-ADP), and 6 out of 406 (1.5%; HEART)."
CLM-024,direct,5,,Ruling out coronary heart disease in primary care patients with chest pain: a clinical prediction score,doi:10.1186/1741-7015-8-9,.evimed-sources/PMC2832616/fulltext.md,full_text,"duration of chest pain from 1 to 60 minutes, substernal chest pain location, pain increasing with exertion, absence of tenderness point at palpation … However, chest pain characteristics alone are not sufficient to reliably rule out ischemic heart disease … In the remaining group of 661 patients … Eighty-five patients (12.9%) were diagnosed with CHD … was 0.946 (95% CI, 0.924 to 0.968) … The area under the curve was of 0.752 (95% CI 0.716; 0.809). Prevalence of CHD in the low risk category (score <5) was of 5.2% … The ruling out of CHD using the CHD-Score has a sensitivity of 85.6% and a specificity of 47.2%. Negative likelihood ratio was of 0.305 and negative predictive value of 94.8% … this score does not entirely rule out CHD as 5.2% of patients in the low risk group from the validation cohort ended up having CHD within the next six months."
CLM-025,direct,14,,Accuracy of the diagnosis of gastroesophageal reflux disease by a trial of potassium-competitive acid blocker treatment,doi:10.1186/s12876-025-03981-1,.evimed-sources/PMC12105216/fulltext.md,full_text,"The Youden index indicated that a symptom relief of > 75% after one week offers greater diagnostic value with sensitivity and specificity of 77.5% and 51.9%. … Studies in Western countries have shown that the PPI test exhibits a sensitivity of 71% but a notably lower specificity of 44% … Patients with atypical reflux symptoms, such as chest pain, coughing, abdominal pain, or throat discomfort as their most troublesome symptom were not eligible for the study."
CLM-026,direct,14,,Accuracy of the diagnosis of gastroesophageal reflux disease by a trial of potassium-competitive acid blocker treatment,doi:10.1186/s12876-025-03981-1,.evimed-sources/PMC12105216/fulltext.md,full_text,"Proton Pump Inhibitors (PPIs) are the main therapeutic method and often used for diagnostic treatment, but it is ineffective in ruling out other diseases due to their low specificity."
CLM-027,direct,15,,Health economics evaluation of diagnostic strategies for gastro-oesophageal reflux disease with reflux symptoms in China: a modelling study,doi:10.1136/bmjopen-2024-093108,.evimed-sources/PMC12083389/fulltext.md,full_text,"American College of Gastroenterology (ACG) clinical guidelines recommend starting with a proton pump inhibitor (PPI) among patients with typical symptoms … For patients with alarm symptoms (such as dysphagia, weight loss, bleeding, vomiting and/or anaemia) or risk factors for Barrett’s oesophagus, endoscopy is strongly recommended as the first step for evaluating oesophageal mucosa. In contrast, the Chinese expert consensus recommends endoscopy for all patients with reflux symptoms at the initial diagnosis."
CLM-028,direct,15,,Health economics evaluation of diagnostic strategies for gastro-oesophageal reflux disease with reflux symptoms in China: a modelling study,doi:10.1136/bmjopen-2024-093108,.evimed-sources/PMC12083389/fulltext.md,full_text,"pooled sensitivity, specificity and positive predictive value from a previous meta-analysis were 0.52, 0.32 and 0.38, respectively."
CLM-029,direct,15,,Health economics evaluation of diagnostic strategies for gastro-oesophageal reflux disease with reflux symptoms in China: a modelling study,doi:10.1136/bmjopen-2024-093108,.evimed-sources/PMC12083389/fulltext.md,full_text,"The estimated global prevalence of GERD is 13% and varies considerably by region and population. In mainland China, the overall pooled prevalence of GERD was 8.7% and showed an increasing trend."
CLM-030,direct,16,,Evaluation of symptom checkers for self diagnosis and triage: audit study,doi:10.1136/bmj.h3480,.evimed-sources/PMC4496786/fulltext.md,full_text,"45 standardized patient vignettes were compiled and equally divided into three categories of triage urgency … The 23 symptom checkers provided the correct diagnosis first in 34% (95% confidence interval 31% to 37%) of standardized patient evaluations, listed the correct diagnosis within the top 20 diagnoses given in 58% (55% to 62%) of standardized patient evaluations, and provided the appropriate triage advice in 57% (52% to 61%) of standardized patient evaluations … appropriate triage advice provided in 80% (95% confidence interval 75% to 86%) of emergent cases"
CLM-031,direct,16,,Evaluation of symptom checkers for self diagnosis and triage: audit study,doi:10.1136/bmj.h3480,.evimed-sources/PMC4496786/fulltext.md,full_text,provided the correct diagnosis first in 34% (95% confidence interval 31% to 37%) of standardized patient evaluations … Symptom checkers had deficits in both triage and diagnosis. … The correct diagnosis was listed first for 24% (19% to 30%) of emergent standardized patient evaluations
CLM-032,direct,17,,What is the suitability of clinical vignettes in benchmarking the performance of online symptom checkers? An audit study,doi:10.1136/bmjopen-2021-053566,.evimed-sources/PMC9047920/fulltext.md,full_text,using 139 standardised patient vignettes … There was moderate agreement on triage recommendation (kappa=0.48) … Clinical vignettes are inherently limited in their utility to benchmark the diagnostic accuracy or triage safety of OSC.
CLM-033,direct,18,,NHS Chest pain (page last reviewed 8 August 2023),official-page:https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page,"Call 999 if: … you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … you get pain that spreads to your left or right arm, or your neck, jaw, stomach or back … you have chest pain and you feel sweaty, sick, light headed or short of breath … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-034,direct,18,,NHS Chest pain (page last reviewed 8 August 2023),official-page:https://www.nhs.uk/symptoms/chest-pain/,.evimed-sources/official-pages/e6143b76645a9461/page.md,official_page,Your symptoms might give you an idea of the cause. Do not self-diagnose – see a GP if you're worried.
CLM-035,direct,7,,"Marburg Heart Score and INTERCHEST score for telephone triage of acute chest pain: a prospective, diagnostic accuracy study in out-of-hours primary care",doi:10.1136/bmjopen-2025-111113,.evimed-sources/PMC13064206/fulltext.md,full_text,"resulting in a sensitivity and specificity of 97.2% (95% CI 85.5% to 99.9%) and 19.7% (95% CI 14.9% to 25.2%), respectively. For ACS, all 13 cases were identified by the NTS (100% sensitivity), but two thirds of patients (77.9%) were false positive, resulting in a specificity of 18.4% (95% CI 13.9% to 23.5%)."
CLM-036,direct,6,,Evaluating the Efficacy of the Marburg Heart Score to Triage Patients Presenting With Chest Pain in an Emergency Department,doi:10.1155/emmi/6085679,.evimed-sources/PMC12116132/fulltext.md,full_text,"A total of 1045 patients were included. … In total, 14.4% ( n = 151) of patients had a modified ECG, 10.5% ( n = 111) had troponin levels above the center's normal range, 8.9% ( n = 93) underwent a coronary angiogram, and 9.3% ( n = 97) had a final diagnosis of ACS."
CLM-037,direct,4,,Chest pain in general practice: a systematic review of prediction rules,doi:10.1136/bmjopen-2018-027081,.evimed-sources/PMC6398621/fulltext.md,full_text,"The GPs’ evaluation of patients with chest pain, based on symptoms and signs alone (‘clinical gestalt’), is unfortunately insufficient for diagnosing or excluding stable angina and particularly ACS reliably (sensitivity of 69% and specificity of 89%)."
CLM-038,direct,3,,Chest Pain in Primary Care: A Systematic Review of Risk Stratification Tools to Rule Out Acute Coronary Syndrome,doi:10.1370/afm.3141,.evimed-sources/10.1370-afm.3141/fulltext.md,full_text,Studies using high-sensitivity troponin showed highest diagnostic accuracy … with sensitivity 83.3% to 100% and NPV 98.8% to 100%.
CLM-039,synthesized,4,,Chest pain in general practice: a systematic review of prediction rules,,.evimed-sources/PMC6398621/fulltext.md,full_text,"For ruling out acute coronary syndrome, none of the CDRs was sensitive enough."
CLM-039,synthesized,4,,Evaluating the Efficacy of the Marburg Heart Score to Triage Patients Presenting With Chest Pain in an Emergency Department,,.evimed-sources/PMC12116132/fulltext.md,full_text,the negative predictive value for suspected acute coronary syndrome was 95.6% (95% CI [94.0–97.2])
CLM-039,synthesized,4,,"Marburg Heart Score and INTERCHEST score for telephone triage of acute chest pain: a prospective, diagnostic accuracy study in out-of-hours primary care",,.evimed-sources/PMC13064206/fulltext.md,full_text,"Prior research suggests an acceptable missed diagnosis rate of ≤1% and a maximum of 25–50 unnecessary referrals per ACS case, assuming a prevalence of 5%. … These benchmarks translate into a desired NPV ≥99% and specificity ≥50% … none of the strategies were able to significantly discriminate for ACS"
CLM-039,synthesized,4,,Chest Pain in Primary Care: A Systematic Review of Risk Stratification Tools to Rule Out Acute Coronary Syndrome,,.evimed-sources/10.1370-afm.3141/fulltext.md,full_text,Clinical decision rules without troponin and the use of conventional troponin showed insufficient sensitivity to rule out ACS in primary care and are not recommended as … standalone tools.
CLM-040,synthesized,16,,Evaluation of symptom checkers for self diagnosis and triage: audit study,,.evimed-sources/PMC4496786/fulltext.md,full_text,provided the appropriate triage advice in 57% (52% to 61%) of standardized patient evaluations
CLM-040,synthesized,16,,What is the suitability of clinical vignettes in benchmarking the performance of online symptom checkers? An audit study,,.evimed-sources/PMC9047920/fulltext.md,full_text,Clinical vignettes are inherently limited in their utility to benchmark the diagnostic accuracy or triage safety of OSC.
