claimId,claimType,referenceNumber,claim,sourceTitle,artifactPath,supportQuote
CLM-011,direct,9,借用他人药物者可能错误自我诊断并延迟就医；该定性研究记录到因先取用他人药物而推迟就医的情形。,Medication Sharing Among Older Adults in South Korea: A Qualitative Study,.evimed-sources/PMC12990816/fulltext.md,"Individual borrowers may inaccurately self-diagnose their conditions and delay visits to healthcare professionals when they can obtain medications from others … In some cases, appropriate treatment by healthcare professionals was delayed owing to medication-sharing behavior"
CLM-012,direct,9,无人监督用药对多重用药老年人可带来脑血管事件、认知损害或下降、谵妄与跌倒等风险。,Medication Sharing Among Older Adults in South Korea: A Qualitative Study,.evimed-sources/PMC12990816/fulltext.md,"unsupervised use of drugs targeting the central nervous system (CNS) can pose risks for older adults with polypharmacy, leading to cerebrovascular events, cognitive decline or impairment, delirium, and falls"
CLM-013,direct,10,乌干达北部横断面调查（n=1614）报告借用处方药率 35.9%（95% CI 33.5–38.2%）、共享率 32.7%（95% CI 30.4–34.9%）。,Prevalence of borrowing and sharing prescription medicines and associated socio-demographic factors: findings from COBERS health centres in northern Uganda,.evimed-sources/PMC5907402/fulltext.md,"Socio-demographic factors and Chi-squared test results for borrowing and sharing prescription medicine, n = 1614 … 35.9% (95% CI 33.5–38.2%) of the study participants had borrowed prescription medicines during the study period while 32.7% (95% CI 30.4–34.9%) of the study participants had shared their prescription medicine during the study period."
CLM-014,direct,13,首次急性冠脉综合征女性（n=39）的定性研究中，多数人将症状归因于血糖波动、反流、进食、紧张、衰老等非心脏原因，反流为最常见的归因。,Symptom recognition and treatment-seeking behaviors in women experiencing acute coronary syndrome for the first time: a qualitative study,.evimed-sources/PMC9703419/fulltext.md,"Participants included 39 women who had experienced ACS for the first time. … most women attributed their symptoms to a non-cardiac cause, such as fluctuations in blood glucose level, acid reflux, heavy food, stress, COVID-19, lung problems, muscle overuse, or aging. Acid reflux was the most commonly attributed cause."
CLM-015,direct,2,出现持续不缓解的胸痛或不适（可为压榨感、烧灼感或消化不良感）应立即呼叫急救（英国为 999）；这可能是心脏病发作，需立即就医。,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,"Immediate action required: Call 999 if: - you get sudden pain or discomfort in your chest that does not go away – the pain can feel like squeezing or pressure inside your chest, burning or indigestion … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital."
CLM-016,direct,16,荷兰初级保健的机会性房颤筛查整群随机对照试验中，47 个筛查诊所对 49 个常规诊所各随机抽取 200 名 65 岁以上无房颤史者，筛查组新诊断房颤 1.62%、常规组 1.53%，校正比值比 1.06（95% CI 0.84～1.35），即机会性筛查未提高检出率。,Opportunistic screening versus usual care for detection of atrial fibrillation in primary care: cluster randomised controlled trial,.evimed-sources/PMC7492823/fulltext.md,"47 intention-to-screen and 49 usual care primary care practices in the Netherlands … In each practice, a fixed sample of 200 eligible patients, aged 65 or older, with no known history of atrial fibrillation in the electronic medical record system, were randomly selected. … 144 (1.62%) new diagnoses of atrial fibrillation in the intention-to-screen group versus 139 (1.53%) in the usual care group were found (adjusted odds ratio 1.06 (95% confidence interval 0.84 to 1.35))."
CLM-018,direct,2,胸痛原因多样，多数并非心脏问题；不应自行诊断，如有疑虑应就医。,Chest pain - NHS,.evimed-sources/official-pages/e6143b76645a9461/page.md,Most chest pain is not a sign of anything serious but get medical advice just in case. … Do not self-diagnose – see a GP if you're worried.
CLM-019,direct,18,国家药监局综合司于 2026 年印发《处方药网络零售合规指南》（药监综药管函〔2026〕282 号）。,中日医药信息网·监管动态,.evimed-sources/official-pages/0420df80271693fc/page.md,国家药监局综合司关于印发处方药网络零售合规指南的通知 药监综药管函〔2026〕282号 2026-06-03
CLM-020,direct,10,系统评价显示借用处方药的现患率为 5% 至 51.9%、共享（出借）为 6% 至 22.9%。,Prevalence of borrowing and sharing prescription medicines and associated socio-demographic factors: findings from COBERS health centres in northern Uganda,.evimed-sources/PMC5907402/fulltext.md,the prevalence of prescription medication borrowing ranges from 5% … to 51.9% … The review further shows that the prevalence of sharing prescription medicine ranges from 6% to 22.9%
CLM-021,direct,3,该试验干预为速效救心丸每次 5 丸、每日 3 次舌下含服；SAQ-SS 连续变量的组间差为 5.68（95% CI 2.37～8.99）。,"Efficacy and Safety of Suxiao Jiuxin Pills in the Treatment of Chronic Coronary Syndrome with Intolerance to Adverse Effects of Long-acting Nitrates: A Multicenter, Randomized, Double-blind, Placebo-controlled Study",.evimed-sources/PMC11451125/fulltext.md,"all participants were instructed to orally administer the study medication sublingually after meals, three times a day, taking 5 capsules each time (total of 15 capsules per day), continuously for 4 weeks. … the SJPs intervention resulted in an improvement of 5.68 (95% CI = 2.37 to 8.99, P < 0.001, SJPs vs. placebo: 15.46 vs. 9.78"
