claimId,referenceNumber,supportQuote,claim,sourceUrl,identifier,accessLevel
CLM-011,4,"the diagnosis of AF should be made on a standard 12-lead ECG or a ≥30 s single-lead ECG, showing an irregularly irregular rhythm, with no discernible P-waves preceding the QRS complexes",确立房颤诊断需在标准 12 导联心电图或 ≥30 秒的单导联心电图上见到不规则心律且 QRS 前无清晰 P 波。,https://europepmc.org/articles/PMC8488290,PMID:34616786,full_text
CLM-012,4,"While the use of a single-lead ECG is a class I recommendation in the ESC 2020 guidelines, the use of PPG alone to establish the diagnosis is not accepted, even when overread by a physician",PPG 不能用于确立房颤诊断，即使经医师复核也不被接受；单导联心电在 ESC 2020 指南中为 I 类推荐。,https://europepmc.org/articles/PMC8488290,PMID:34616786,full_text
CLM-013,4,"Current guidelines state that when AF is suspected by an automated algorithm, confirmation on an ECG tracing is always required.",当自动算法提示疑似房颤时，现行指南要求必须经心电图记录确认。,https://europepmc.org/articles/PMC8488290,PMID:34616786,full_text
CLM-014,4,"The performance was calculated in a hypothetical population with AF prevalence of 6% … The raw PPG waveform resulted in the lowest PPV (29.3%; 26.5–32.2), which increased when the plots were provided (44.7%; CI 40.1–49.5%) and when the algorithm output was provided (55.5%; CI 49.6–61.2). This is numerically comparable to single-lead ECG (48.7%; CI 43.0–54.4%), but lower than 12-lead ECG (81.0%; CI 72.4–87.4%).",按房颤患病率 6% 模拟，单导联心电的阳性预测值为 48.7%，原始 PPG 波形为 29.3%，12 导联心电为 81.0%，阳性预测值随患病率下降而显著下降。,https://europepmc.org/articles/PMC8488290,PMID:34616786,full_text
CLM-015,5,"Participants underwent simultaneous rhythm monitoring using smartwatch PPG and 24-hour Holter electrocardiogram monitoring (the gold standard) … A total of 145 participants with paroxysmal AF … the PPG-based AF burden model demonstrated a sensitivity of 91.5% (95% CI 87.9%-95.1%), specificity of 97.2% (95% CI 95.9%-98.5%)",中国队列以 24 小时 Holter 为参照验证智能手表 PPG 房颤负荷算法，敏感度 91.5%、特异度 97.2%（145 例阵发性房颤）。,https://europepmc.org/articles/PMC12599996,PMID:41213119,full_text
CLM-016,6,"Below age 60 years yield was 0.34%, increasing to 2.73% for ages 85 years and over. For screening people ≥65 years (as per guideline recommendations), the detection rate of new AF was 1.44% (95% CI, 1.13%–1.82%), compared with only 0.41% (95% CI, 0.31%–0.53%) for people aged <65 years (rate ratio = 3.57, 95% CI, 3.10–4.10)",筛查检出率随年龄从 <60 岁的 0.34% 升至 ≥85 岁的 2.73%；≥65 岁检出 1.44%（95%CI 1.13%–1.82%），<65 岁仅 0.41%（0.31%–0.53%）。,https://europepmc.org/articles/PMC6760766,PMID:31553733,full_text
CLM-017,6,"the clear majority (84%) of screen-detected new AF was eligible for OAC with a Class-1 recommendation … for those <65 years, only 26% received a Class-1 recommendation",≥65 岁筛查发现的新发房颤中 84% 有 I 类抗凝指征，<65 岁仅 26%。,https://europepmc.org/articles/PMC6760766,PMID:31553733,full_text
CLM-018,6,"the NNS-Rx rose steeply from 211 to 926, and a further increase to 1,089 for people aged <60 years … Our data do not support screening a general population younger than 65 years","现有证据不支持在 <65 岁一般人群中筛查房颤：发现一个可治病例所需筛查人数升至 1,089（<60 岁）。",https://europepmc.org/articles/PMC6760766,PMID:31553733,full_text
CLM-019,7,"you have chest pain and you feel sweaty, sick, light headed or short of breath … You could be having a heart attack. Call 999 straight away as you need immediate treatment in hospital.",胸痛伴大汗、恶心、头晕或气短可能是心肌梗死，须立即呼救急诊（英国为 999，中国为 120）。,https://www.nhs.uk/symptoms/chest-pain/,NHS chest pain page (reviewed 08 Aug 2023),official_page
CLM-020,8,"Early-rhythm-control therapy, initiated within one year after a first diagnosis of AF, reduced the risk of cardiovascular events by 21% in the Early Treatment of Atrial Fibrillation for Stroke Prevention Trial (EAST-AFNET 4), including fewer strokes and heart failure events. … randomised 2789 adults aged over 75 years",在首次诊断房颤一年内启动的早期节律控制使心血管事件风险降低 21%（EAST-AFNET 4，含卒中与心力衰竭事件的减少）。,https://europepmc.org/articles/PMC12572810,PMID:41181841,full_text
CLM-021,9,Those with SCAF had a five-fold higher risk of developing clinical AF [hazard ratio (HR) 5.56; 95% confidence interval (CI): 3.78-8.17; P < 0.001] and a 2.5-fold higher risk of stroke or SE (HR 2.49; 95%CI: 1.28-4.85; P = 0.007 … Only episodes > 24 hours significantly predicted stroke/SE (HR 3.24; P = 0.003).,ASSERT 研究显示植入装置检出的亚临床房颤使卒中/体循环栓塞风险增至 2.49 倍（HR 2.49，95%CI 1.28–4.85），但仅 >24 小时的发作显著预测卒中（HR 3.24，P=0.003）。,https://europepmc.org/articles/PMC12836068,PMID:41607628,full_text
CLM-022,9,"no episode exceeding 24 hours … Eligible patients also had a CHA 2 DS 2 -VASc score ≥ 3 … A total of 4012 patients were randomized … The primary outcome occurred in 55 patients in the apixaban group and 86 in the aspirin group (HR 0.63; 95%CI: 0.45-0.88; P = 0.007). Hence, a 37% reduction in stroke and SE was seen with apixaban therapy … The rate of major bleeding was 1.71% per patient-year with apixaban and 0.94% per patient-year with aspirin (HR 1.80; 95%CI: 1.26-2.57; P = 0.001).",ARTESiA 试验（4012 例，CHA₂DS₂-VASc≥3）中阿哌沙班使卒中/体循环栓塞减少 37%（HR 0.63，95%CI 0.45–0.88），大出血从 0.94% 升至 1.71%/年（HR 1.80）。,https://europepmc.org/articles/PMC12836068,PMID:41607628,full_text
CLM-023,9,"The NOAH-AFNET 6 study … Of the total 2536 patients enrolled, 1270 were assigned to edoxaban and 1266 to placebo … The trial was terminated early after a median follow-up of 21 months due to safety concerns and an independent assessment indicating futility … A primary efficacy event occurred in 83 patients in the edoxaban group (3.2% per patient-year) vs 101 in the placebo group (4.0% per patient-year; HR 0.81; 95%CI: 0.60-1.08; P = 0.15)",NOAH-AFNET 6 试验（2536 例）依度沙班未显著减少主要终点（HR 0.81，95%CI 0.60–1.08），且因无效提前终止。,https://europepmc.org/articles/PMC12836068,PMID:41607628,full_text
CLM-024,9,It included > 6500 patients from the NOAH-AFNET 6 and ARTESIA trials. OAC use was associated with a 32% reduction in ischemic stroke (HR 0.68; 95%CI: 0.50-0.92) … Major bleeding events increased by 62% with OAC,NOAH-AFNET 6 与 ARTESiA 的合并分析显示，口服抗凝使缺血性卒中减少 32%（HR 0.68，95%CI 0.50–0.92），大出血增加 62%。,https://europepmc.org/articles/PMC12836068,PMID:41607628,full_text
CLM-025,9,"The 2023 ACC/AHA guideline for AF management advocates that patients with SCAF < 6 minutes duration do not need any OAC. For patients with SCAF duration between 6 minutes to 24 hours, a CHA 2 DS 2 VASc score > 3 would indicate the need for OAC. For those with SCAF duration > 24 hours, a CHA 2 DS 2 VASc score > 2 would indicate the need for OAC. … The 2024 ESC guidelines fail to give an unequivocal recommendation … The guidelines say that DOACs can be used in patients with SCAF with high stroke risk and low bleeding risk (Class IIb recommendation).",2023 年 ACC/AHA 指南按发作时长与 CHA₂DS₂-VASc 分层（<6 分钟不需抗凝，6 分钟至 24 小时且 CHA₂DS₂-VASc>3 考虑抗凝，>24 小时且 CHA₂DS₂-VASc>2 考虑抗凝）；2024 年 ESC 指南仅给出 IIb 类推荐。,https://europepmc.org/articles/PMC12836068,PMID:41607628,full_text
CLM-026,9,Individuals with SCAF had an absolute increase in stroke risk of approximately 1% per year-roughly half the risk observed in patients clinically diagnosed with AF,亚临床房颤患者的卒中绝对风险约为 1%/年，约为临床确诊房颤的一半，因此植入装置人群的抗凝证据不能直接外推至更年轻低危的消费级设备提示人群。,https://europepmc.org/articles/PMC12836068,PMID:41607628,full_text
CLM-027,9,Approximately half of the patients in the two trials had pre-existing vascular disease (56% and 46%).,亚临床房颤抗凝试验中约 46% 至 56% 的患者合并血管疾病（含冠心病），合并血管病者卒中与出血事件率均更高。,https://europepmc.org/articles/PMC12836068,PMID:41607628,full_text
CLM-028,4,"Sixty-five physicians detected or excluded AF based on the raw PPG waveforms with 88.8% sensitivity and 86.3% specificity. Additional presentation of the tachogram plus Poincaré plot significantly increased sensitivity and specificity to 95.5% ( P < 0.001) and 92.5% ( P < 0.001), respectively. … Physicians detected AF on single-lead ECG tracings with 91.2% sensitivity and 93.9% specificity. Diagnostic accuracy was also not optimal on full 12-lead ECGs (93.9 and 98.6%, respectively).",医师对 PPG 波形判读的敏感度为 88.8%、特异度为 86.3%，附加 tachogram 与 Poincaré 图后升至 95.5% 与 92.5%；单导联心电为 91.2% 与 93.9%，12 导联心电为 93.9% 与 98.6%。,https://europepmc.org/articles/PMC8488290,PMID:34616786,full_text
