claimId,referenceNumber,supportQuote,sourceTitle,artifactPath,identifier,accessLevel
CLM-011,4,"The most common adverse drug reactions (>10% patients) to aripiprazole are mostly extrapyramidal effects, headache, agitation, insomnia, anxiety, nausea and vomiting, akathisia, light-headedness, and constipation ( Prommer, 2017 ).","Genetic Polymorphisms Associated With the Pharmacokinetics, Pharmacodynamics and Adverse Effects of Olanzapine, Aripiprazole and Risperidone",.evimed-sources/PMC8316766/fulltext.md,PMC8316766,full_text
CLM-012,5,The therapeutic reference range trough values were reported by the the TDM task force of the Arbeitsgemeinschaft für Neuropsychopharmakologie und Pharmakopsychiatrie (AGNP) between 100 and 350 ng/mL for aripiprazole and 150 and 500 ng/mL for the active moiety (aripiprazole plus dehydroaripiprazole) [ 4 ].,Towards Precision Medicine in Clinical Practice: Alinity C vs. UHPLC-MS/MS in Plasma Aripiprazole Determination,.evimed-sources/PMC10820753/fulltext.md,PMC10820753,full_text
CLM-013,5,"Recently, new reference ranges were proposed of 120–270 ng/mL and 180–380 ng/mL, respectively, for aripiprazole and its active moiety by Hart et al. [ 5 ].",Towards Precision Medicine in Clinical Practice: Alinity C vs. UHPLC-MS/MS in Plasma Aripiprazole Determination,.evimed-sources/PMC10820753/fulltext.md,PMC10820753,full_text
CLM-014,5,"Nonetheless, clinical decisions could be different in 15% of the cases depending on the chosen method.",Towards Precision Medicine in Clinical Practice: Alinity C vs. UHPLC-MS/MS in Plasma Aripiprazole Determination,.evimed-sources/PMC10820753/fulltext.md,PMC10820753,full_text
CLM-015,5,"Since the Alinity C system does not provide concentrations of aripiprazole and dehydroaripipiprazole singularly, but only reports the active moiety",Towards Precision Medicine in Clinical Practice: Alinity C vs. UHPLC-MS/MS in Plasma Aripiprazole Determination,.evimed-sources/PMC10820753/fulltext.md,PMC10820753,full_text
CLM-016,6,"The monitored concentration ranges for some of the drugs, such as voriconazole, olanzapine, clozapine, cyclosporine, and others, may vary depending on the medical institution or the type of testing method used.",A Survey of Therapeutic Drug Monitoring Status in China,.evimed-sources/PMC10013164/fulltext.md,PMC10013164,full_text
CLM-017,6,"vancomycin, valproic acid, methotrexate, carbamazepine, cyclosporine, and voriconazole were the most common projects for which TDM had been performed",A Survey of Therapeutic Drug Monitoring Status in China,.evimed-sources/PMC10013164/fulltext.md,PMC10013164,full_text
CLM-018,6,"Division of TDM, Chinese Pharmacological Society published expert consensus on “The Interpretation of Therapeutic Drug Monitoring Results.”",A Survey of Therapeutic Drug Monitoring Status in China,.evimed-sources/PMC10013164/fulltext.md,PMC10013164,full_text
CLM-019,6,"which launched the national “EQA Investigation Plan for antibiotic drugs, antifungal drugs, antitumor drugs, psychotropic drugs and antidepressants” 28 covering 33 drugs",A Survey of Therapeutic Drug Monitoring Status in China,.evimed-sources/PMC10013164/fulltext.md,PMC10013164,full_text
CLM-020,7,"Overall, 17,811 patients, regardless of age, with a total of 24,358 TDM analyses, were extracted from the TDM database (Fig. 1 ).",Use of Antidepressants in Older People during a 10-Year Period: An Observational Study on Prescribed Doses and Serum Levels,.evimed-sources/PMC7473958/fulltext.md,PMC7473958,full_text
CLM-021,7,"In both 2007 and 2017, the proportion of individuals with at least one serum concentration above the recommended reference range was almost doubled among older individuals compared with younger individuals (16.8% vs. 9.0% in 2007 and 10.6% vs. 6.0% in 2017)",Use of Antidepressants in Older People during a 10-Year Period: An Observational Study on Prescribed Doses and Serum Levels,.evimed-sources/PMC7473958/fulltext.md,PMC7473958,full_text
CLM-022,7,"It must be noted that serum concentrations above the recommended reference range does not necessarily mean overmedication, as the TDM reference ranges are not absolutely defined therapeutic ranges.",Use of Antidepressants in Older People during a 10-Year Period: An Observational Study on Prescribed Doses and Serum Levels,.evimed-sources/PMC7473958/fulltext.md,PMC7473958,full_text
CLM-023,8,their guidelines address theoretical as well as practical aspects of TDM and provide therapeutic reference ranges for 154 neuropsychiatric drugs,Therapeutic Drug Monitoring of Second- and Third-Generation Antipsychotic Drugs—Influence of Smoking Behavior and Inflammation on Pharmacokinetics,.evimed-sources/PMC8230242/fulltext.md,PMC8230242,full_text
CLM-024,8,"Published reports document 20–40% lower mean serum clozapine concentrations in smokers (up to 14 cigarettes per day) compared with nonsmokers due to enzyme induction [ 67 ]. When a patient stops smoking, dose reduction of clozapine of 30–50% is recommended [ 213 , 215 ].",Therapeutic Drug Monitoring of Second- and Third-Generation Antipsychotic Drugs—Influence of Smoking Behavior and Inflammation on Pharmacokinetics,.evimed-sources/PMC8230242/fulltext.md,PMC8230242,full_text
CLM-025,8,"The plasma levels of other SGAs and TGAs, such as aripiprazole [ 226 ], brexpiprazole [ 227 ], cariprazine [ 228 ], lurasidone [ 229 ], quetiapine [ 230 ], and sertindole [ 231 ], are not affected by cigarette smoking.",Therapeutic Drug Monitoring of Second- and Third-Generation Antipsychotic Drugs—Influence of Smoking Behavior and Inflammation on Pharmacokinetics,.evimed-sources/PMC8230242/fulltext.md,PMC8230242,full_text
CLM-026,8,"clozapine level 13,156 ng/mL; reference range: 350–600 ng/mL",Therapeutic Drug Monitoring of Second- and Third-Generation Antipsychotic Drugs—Influence of Smoking Behavior and Inflammation on Pharmacokinetics,.evimed-sources/PMC8230242/fulltext.md,PMC8230242,full_text
CLM-027,8,"Clozapine intoxication presenting with symptoms such as myoclonus, drowsiness, neutropenia, or (paralytic) ileus commonly occurs after a reduction of tobacco consumption or during infection, both resulting in a reduced CYP1A2 activity and thus decreased clozapine metabolism.",Therapeutic Drug Monitoring of Second- and Third-Generation Antipsychotic Drugs—Influence of Smoking Behavior and Inflammation on Pharmacokinetics,.evimed-sources/PMC8230242/fulltext.md,PMC8230242,full_text
CLM-028,9,"a total of 21,161,817 AE reports were included in the FAERS database. After conducting a narrow-scope search for “Parkinson-like events (SMQ)” and removing duplicates, 54,639 reports were identified as related to Parkinson-like events.",Drug-induced Parkinson-like events: a real-world study from 2004 to the first quarter of 2024 based on FAERS,.evimed-sources/PMC11739097/fulltext.md,PMC11739097,full_text
CLM-029,9,"aripiprazole (N = 1,568 cases, ROR = 7.43, 95% CI = 7.06–7.81, PRR = 7.38, χ 2 = 8,407.65)",Drug-induced Parkinson-like events: a real-world study from 2004 to the first quarter of 2024 based on FAERS,.evimed-sources/PMC11739097/fulltext.md,PMC11739097,full_text
CLM-030,9,the signal detection results for Parkinson-like events indicate only a statistical correlation between the associated drugs and the target AE reports. Further in-depth studies are required to determine the specific mechanisms and establish a clear causal relationship.,Drug-induced Parkinson-like events: a real-world study from 2004 to the first quarter of 2024 based on FAERS,.evimed-sources/PMC11739097/fulltext.md,PMC11739097,full_text
CLM-031,10,This online tool uses the “openFDA” API of the US Food and Drug Administration (FDA) to access pharmacovigilance data from the FDA Adverse Event Reporting System (FAERS) ( 36 ).,Integrating machine learning with electronic health record data to facilitate detection of prolactin level and pharmacovigilance signals in olanzapine-treated patients,.evimed-sources/PMC9606398/fulltext.md,PMC9606398,full_text
CLM-032,10,"This range is close to the recommended therapeutic reference range (i.e., 20–80 ng/mL) and the laboratory alert level (i.e., 100 ng/mL) of OLZ according to the latest consensus-based guidelines of the Arbeitsgemeinschaft für Neuropsychopharmakologie und Pharmakopsychiatrie (AGNP)- Therapeutic Drug Monitoring (TDM) expert group",Integrating machine learning with electronic health record data to facilitate detection of prolactin level and pharmacovigilance signals in olanzapine-treated patients,.evimed-sources/PMC9606398/fulltext.md,PMC9606398,full_text
CLM-033,10,"Risperidone, paliperidone, and amisulpride were the top three antipsychotics associated with the risk of increased PRL concentration in the blood and hyperprolactinemia according to their RRR values. Similarly, aripiprazole exhibited the strongest association with decreased PRL content in blood, indicating that its use may protect patients taking OLZ from hyperprolactinemia.",Integrating machine learning with electronic health record data to facilitate detection of prolactin level and pharmacovigilance signals in olanzapine-treated patients,.evimed-sources/PMC9606398/fulltext.md,PMC9606398,full_text
CLM-034,3,"Since only historical data from already performed routine analyses was included in the study without posing any risk or burden to the patients, patient consent was not required.",Rapid Metabolism Underlying Subtherapeutic Serum Levels of Atypical Antipsychotics Preceding Clozapine Treatment: A Retrospective Analysis of Real-World Data,.evimed-sources/PMC11098931/fulltext.md,PMC11098931,full_text
CLM-035,7,This study was approved by the Regional Committee for Medical and Health Research Ethics (ref. 2018/655) and the Hospital Investigational Review Board.,Use of Antidepressants in Older People during a 10-Year Period: An Observational Study on Prescribed Doses and Serum Levels,.evimed-sources/PMC7473958/fulltext.md,PMC7473958,full_text
CLM-036,8,Published reports document 20–40% lower mean serum clozapine concentrations in smokers (up to 14 cigarettes per day) compared with nonsmokers due to enzyme induction [ 67 ].,Therapeutic Drug Monitoring of Second- and Third-Generation Antipsychotic Drugs—Influence of Smoking Behavior and Inflammation on Pharmacokinetics,.evimed-sources/PMC8230242/fulltext.md,PMC8230242,full_text
CLM-037,8,"When a patient stops smoking, dose reduction of clozapine of 30–50% is recommended [ 213 , 215 ].",Therapeutic Drug Monitoring of Second- and Third-Generation Antipsychotic Drugs—Influence of Smoking Behavior and Inflammation on Pharmacokinetics,.evimed-sources/PMC8230242/fulltext.md,PMC8230242,full_text
CLM-038,9,"aripiprazole (N = 1,568 cases, ROR = 7.43, 95% CI = 7.06–7.81, PRR = 7.38, χ 2 = 8,407.65)",Drug-induced Parkinson-like events: a real-world study from 2004 to the first quarter of 2024 based on FAERS,.evimed-sources/PMC11739097/fulltext.md,PMC11739097,full_text
CLM-039,7,"It must be noted that serum concentrations above the recommended reference range does not necessarily mean overmedication, as the TDM reference ranges are not absolutely defined therapeutic ranges.",Use of Antidepressants in Older People during a 10-Year Period: An Observational Study on Prescribed Doses and Serum Levels,.evimed-sources/PMC7473958/fulltext.md,PMC7473958,full_text
CLM-040,6,"Division of TDM, Chinese Pharmacological Society published expert consensus on “The Interpretation of Therapeutic Drug Monitoring Results.”",A Survey of Therapeutic Drug Monitoring Status in China,.evimed-sources/PMC10013164/fulltext.md,PMC10013164,full_text
CLM-041,5,Passing–Bablock regression showed a good correlation among methods (rs = 0.93) and a slope of 1.12 indicating a slight tendency of Alinity C to measure higher values than UHPLC-MS/MS.,Towards Precision Medicine in Clinical Practice: Alinity C vs. UHPLC-MS/MS in Plasma Aripiprazole Determination,.evimed-sources/PMC10820753/fulltext.md,PMC10820753,full_text
CLM-042,8,"These therapeutic reference ranges refer not only to the initially applied chemical substance, but to the active moiety, i.e., the sum of parent compound and its pharmacodynamically active metabolites",Therapeutic Drug Monitoring of Second- and Third-Generation Antipsychotic Drugs—Influence of Smoking Behavior and Inflammation on Pharmacokinetics,.evimed-sources/PMC8230242/fulltext.md,PMC8230242,full_text
CLM-200,5,,,,,
